#x_cut[deg],y_cut[deg]
7.488088e-01,4.517822e-02
-1.873882e-02,-7.446440e-01
3.384800e-01,-8.296546e-01
8.301305e-01,-1.735701e-01
9.451284e-01,-3.389686e-01
1.147562e+00,-7.252543e-01
-8.016508e-01,4.085725e-01
7.706113e-01,-2.617944e-02
-5.619693e-01,4.822887e-01
-7.104929e-01,4.746064e-01
-6.826452e-01,5.679017e-01
-5.214337e-01,3.503638e-01
-3.891441e-01,3.677463e-01
8.532790e-01,-1.711773e-01
6.609588e-02,-7.647258e-01
-7.427472e-02,-7.557574e-01
2.938708e-01,-8.795832e-01
-1.769184e-01,1.349886e-01
-8.261600e-02,7.057975e-02
-1.512016e-01,6.027028e-02
-1.234215e-01,6.186465e-02
2.332973e-02,1.907341e-02
1.242151e-01,1.471915e-01
-1.808858e-02,1.124476e-01
1.689385e-01,1.302735e-01
4.840589e-03,8.623993e-02
1.701068e-01,6.919808e-02
-6.394099e-02,1.816271e-02
-3.482175e-01,2.760189e-01
-3.601915e-01,1.670142e-01
-4.079652e-01,3.070683e-01
-5.998049e-01,1.679259e-01
9.485877e-02,8.383046e-02
-2.252086e-02,1.615704e-01
-1.392566e-01,5.171995e-02
-4.078265e-03,3.073489e-02
3.442136e-02,2.060614e-02
-1.018606e-01,-2.103763e-03
5.526593e-02,1.288758e-01
-2.556761e-02,8.202757e-02
1.364983e-01,5.384601e-02
1.813180e-01,4.038448e-02
-1.675238e-02,4.346293e-04
-2.216793e-02,-4.206650e-02
1.446570e-01,-1.503360e-02
6.045620e-01,2.058082e-01
6.930715e-01,7.172665e-02
1.132308e+00,-6.862064e-01
-7.752209e-02,8.308606e-02
-1.372334e-01,5.242713e-02
-8.779207e-02,-8.793215e-04
1.624130e-01,1.650542e-01
1.001195e-02,3.529193e-02
-1.205315e-01,5.618522e-02
-7.127942e-02,1.498750e-01
-9.400254e-02,1.074068e-01
1.516758e-01,1.212385e-01
-7.423632e-02,4.711266e-02
8.187066e-01,-1.567272e-01
-2.796714e-02,7.469491e-02
1.310720e-01,1.615581e-01
-5.870721e-02,3.426600e-02
9.981973e-02,4.141576e-02
1.743639e-01,1.364699e-01
1.639155e-01,1.792854e-01
-1.421954e-01,1.892996e-02
7.974654e-03,-1.032896e-02
3.181319e-02,-1.468086e-02
-6.423897e-02,-3.670563e-02
1.721191e-02,-3.305659e-02
8.654084e-01,-2.674655e-01
8.654084e-01,-2.674655e-01
-1.002567e-01,2.215857e-02
-4.366402e-02,1.106595e-01
-1.162232e-01,6.288060e-02
-9.516124e-03,3.720376e-02
-1.094110e-01,-7.569209e-03
-1.055044e-01,6.287640e-02
-1.348651e-01,1.552920e-02
-4.717336e-02,3.025130e-02
8.170272e-02,-2.110579e-02
2.252510e-01,-2.136141e-02
7.036990e-02,1.014312e-01
6.343433e-02,1.515683e-01
-1.460615e-01,1.112538e-01
-1.397352e-02,8.391700e-02
-8.637231e-02,1.062215e-02
-1.017474e-01,9.440071e-02
8.036461e-02,1.159437e-01
8.685629e-02,-5.308849e-02
7.776371e-01,-1.316814e-01
9.276256e-01,-3.498664e-01
-8.412339e-02,7.299233e-02
1.390157e-01,1.015812e-01
1.246211e-01,5.892182e-02
-6.441767e-03,1.289876e-01
1.190630e-02,1.142778e-01
8.349481e-02,1.023698e-01
2.290307e-01,7.971545e-02
1.084640e-01,4.739182e-02
-3.318998e-02,1.351280e-02
3.048398e-02,-5.985734e-02
-1.208477e-01,6.235469e-02
1.218301e-01,9.518340e-02
-1.136178e-01,4.499836e-02
-6.343218e-03,5.717058e-02
-2.588229e-02,2.456536e-02
-2.202057e-02,1.574127e-02
8.371546e-02,1.733705e-01
-1.506985e-01,9.009970e-02
3.321610e-02,9.972892e-02
-1.212659e-01,8.855582e-03
3.078232e-02,2.534735e-02
1.434466e-01,7.483615e-02
1.679689e-01,5.059750e-03
-6.313997e-02,-1.063821e-02
-8.833440e-02,-2.901234e-02
1.436803e-01,-3.938293e-02
2.607390e-01,-4.476671e-02
-3.014023e-02,-1.031134e-01
-6.553382e-01,3.257861e-01
-2.800847e-02,6.968175e-02
-5.874456e-02,1.069578e-01
-7.584555e-02,8.462310e-02
1.676009e-01,1.240840e-01
-2.638539e-02,4.937458e-02
2.016531e-02,3.585034e-02
2.304987e-01,5.145284e-02
-9.068011e-02,-4.056837e-03
-1.274606e-01,6.416078e-02
-1.065047e-01,4.229370e-02
1.632055e-01,-5.204029e-02
1.233788e-01,2.167418e-02
-4.602818e-02,-7.267657e-03
1.726875e-01,2.376424e-02
8.239770e-01,-1.694459e-01
-9.953138e-02,6.982495e-02
8.388844e-02,1.791339e-01
-1.824683e-01,9.670169e-02
-8.010289e-02,6.628082e-02
-5.464495e-02,4.053050e-02
6.406255e-02,3.260246e-02
1.531624e-01,3.878121e-02
-7.147491e-02,5.998148e-02
3.535187e-02,1.171651e-01
1.439693e-01,1.116409e-01
1.508438e-01,6.944828e-02
7.084868e-03,4.157595e-02
-7.895033e-02,1.490212e-02
1.243409e-01,4.855143e-02
-5.976637e-02,-8.041588e-02
2.148106e-01,3.699602e-02
1.554760e-02,-7.626508e-03
1.708232e-01,1.743487e-02
7.493887e-01,-6.663063e-02
9.951500e-01,-5.053654e-01
7.567861e-02,1.000557e-01
-3.345933e-02,7.036525e-02
-1.993759e-02,1.026668e-01
1.669952e-01,1.084251e-01
-9.430847e-02,3.862846e-02
