#x_outof_circle[deg],y_outof_circle[deg]
-6.554854e-01,-1.076283e+00
-2.399433e-01,-1.385900e+00
-4.322219e-01,-1.052746e+00
-4.420450e-01,-1.103217e+00
-4.424403e-01,-1.037782e+00
-4.446666e-01,-1.128519e+00
-2.959020e-01,-1.195627e+00
-5.004642e-01,-9.822591e-01
-6.714493e-01,-1.125675e+00
1.181540e+00,-7.911591e-01
4.335644e-01,-1.163265e+00
4.434981e-01,-1.227473e+00
3.027459e-01,-1.172492e+00
-1.893469e+00,-5.954634e-01
1.164281e+00,-7.868429e-01
1.213876e+00,-8.375632e-01
-1.747312e+00,-8.027287e-01
-1.629950e+00,-1.002135e+00
-7.293009e-01,1.741844e+00
-4.355803e-01,1.802871e+00
-5.866086e-01,1.764336e+00
-6.222074e-01,1.682310e+00
-5.047788e-01,1.718608e+00
-4.264717e-01,1.743239e+00
-4.884202e-01,1.638618e+00
-5.075533e-01,1.731591e+00
-8.293886e-01,1.759523e+00
-7.238884e-01,1.770101e+00
-5.301000e-01,1.616728e+00
-3.685397e-01,1.577289e+00
-1.572741e+00,-1.179205e+00
-6.426010e-01,1.527901e+00
-7.230961e-01,1.787395e+00
-1.795265e+00,4.856954e-01
-1.767841e+00,4.918941e-01
-6.966159e-01,1.774011e+00
-4.385077e-01,1.494317e+00
-1.910255e+00,4.736393e-01
-2.471677e-01,-1.851268e+00
-3.253128e-01,-1.947492e+00
-2.748000e-01,1.791828e+00
-2.393644e-01,1.737364e+00
-2.739429e-01,1.651137e+00
-3.051877e-01,1.583775e+00
-3.731199e-01,1.841391e+00
-1.913566e+00,4.655126e-01
-4.106717e-01,1.754601e+00
-4.215632e-01,1.771221e+00
-7.076987e-01,1.677308e+00
-4.957922e-01,1.632672e+00
-7.487219e-01,1.668735e+00
-1.767592e+00,5.386995e-01
-2.554542e-01,-1.938428e+00
-3.552043e-01,1.720489e+00
-5.492967e-01,1.890249e+00
-1.714219e+00,-9.872117e-01
-6.520563e-01,1.549052e+00
-5.512315e-01,1.541593e+00
-3.722026e-01,1.765146e+00
-2.816311e-01,1.800393e+00
-5.188637e-01,1.827979e+00
-1.795063e+00,4.831431e-01
-2.716774e-01,1.465946e+00
-1.847430e+00,6.034226e-01
-2.816628e-01,1.561819e+00
-5.035322e-01,1.689521e+00
-2.938430e-01,1.857373e+00
-2.482359e-01,1.753567e+00
-2.799513e-01,1.649707e+00
-1.800548e+00,5.243135e-01
-3.929686e-01,1.762908e+00
-1.743443e+00,5.009774e-01
-1.911333e+00,5.321224e-01
-3.249648e-01,-1.813499e+00
1.965174e+00,-3.511232e-01
-5.774175e-01,1.489063e+00
-3.437956e-01,-1.960959e+00
-5.117936e-01,1.702047e+00
1.935808e+00,-4.394085e-01
-5.829118e-01,1.754252e+00
-3.164283e-01,-1.939274e+00
-3.123344e-01,1.778407e+00
-4.768483e-01,1.885621e+00
-5.419077e-01,1.581212e+00
-3.775761e-01,1.461741e+00
-3.782658e-01,1.863097e+00
-5.494490e-01,1.776068e+00
-7.666627e-01,1.758050e+00
-5.898741e-01,1.699718e+00
-4.215139e-01,1.948563e+00
-5.825292e-01,1.902699e+00
-5.845534e-01,1.832181e+00
-4.206171e-01,1.586243e+00
-6.752997e-01,1.578140e+00
-4.812176e-01,1.810758e+00
-3.203740e-01,1.914509e+00
-1.581172e-01,-1.197211e+00
3.612713e-03,-1.169717e+00
7.691724e-02,-1.093569e+00
-4.282107e-02,-1.332473e+00
4.789487e-01,-1.044766e+00
-1.579576e+00,-1.192141e+00
-3.310974e-01,-1.944689e+00
-2.259869e-01,-1.100959e+00
-1.324010e-02,-1.138167e+00
-1.676965e+00,-8.477042e-01
-1.632421e+00,-1.148441e+00
-5.131936e-01,1.646766e+00
-2.587064e-01,1.779336e+00
-1.756446e+00,-8.009857e-01
-1.639714e+00,-9.173215e-01
-1.297598e-01,-1.089697e+00
-1.512910e+00,-1.196490e+00
-3.720244e-02,-1.099657e+00
-1.460328e+00,-1.328277e+00
-1.853862e+00,-6.853939e-01
-1.523438e+00,-1.203133e+00
-6.186284e-01,-1.035316e+00
-5.291658e-01,-1.247373e+00
-1.990197e+00,-8.199580e-02
-4.336287e-01,-1.169151e+00
-6.511623e-04,-1.165356e+00
-4.732302e-01,-1.111966e+00
-6.198797e-01,-1.138521e+00
-1.637319e-01,-1.001812e+00
-7.058312e-02,-1.129420e+00
7.349304e-02,-1.142842e+00
-4.273152e-01,-1.054666e+00
-5.946625e-01,-1.075683e+00
-5.508724e-02,-1.038318e+00
2.129067e-02,-1.152730e+00
-4.478504e-01,-1.176648e+00
-8.490914e-02,-1.121781e+00
9.618545e-03,-1.154465e+00
-6.770598e-01,-1.104209e+00
-8.336287e-02,-1.058154e+00
-7.693667e-02,-1.240811e+00
-5.617280e-01,-1.285243e+00
-2.247857e-01,-1.329623e+00
-1.899566e-01,-1.024830e+00
-1.164060e-01,-1.161800e+00
-2.036613e-01,-1.195963e+00
1.028786e-01,-1.149442e+00
-2.296124e-01,-1.161166e+00
-3.707585e-01,-1.109228e+00
-8.633314e-02,-1.228182e+00
-6.525056e-01,-1.102415e+00
-4.648146e-01,-1.197633e+00
-4.710014e-01,-1.282875e+00
-1.358531e-01,-1.048733e+00
-2.448329e-01,-9.996545e-01
-5.585578e-01,-1.130198e+00
-5.253667e-01,-1.023009e+00
-6.043186e-01,-1.196991e+00
-1.566461e+00,-1.073648e+00
-4.136190e-01,-1.374481e+00
-2.109008e-01,-1.143216e+00
-3.862116e-01,-1.164511e+00
-4.245774e-01,-1.298276e+00
-5.048171e-01,-1.310700e+00
-5.550917e-01,-9.855831e-01
-5.488370e-01,-1.127031e+00
-4.869724e-01,-1.036901e+00
-3.369373e-01,-1.258309e+00
-2.880894e-01,-1.326934e+00
-6.082521e-03,-1.132273e+00
-4.979086e-01,-1.226929e+00
-3.894883e-01,-1.294408e+00
-5.216028e-01,-1.068343e+00
-4.873846e-01,-1.193596e+00
-4.448172e-01,-1.208211e+00
-4.754581e-01,-1.264318e+00
-3.162190e-01,-1.001452e+00
6.521235e-02,-1.057382e+00
-8.793611e-03,-1.197200e+00
-1.947929e+00,-1.543327e-01
-5.783602e-01,-1.021402e+00
-6.348361e-01,-1.117917e+00
-3.233009e-01,-1.162755e+00
-3.543556e-01,-1.306234e+00
-5.426491e-01,-1.312398e+00
1.106229e+00,-1.466212e+00
1.038452e+00,-1.556264e+00
8.352990e-01,-1.586870e+00
1.073750e+00,-1.484764e+00
1.009609e+00,-1.432439e+00
-1.844689e+00,-6.556907e-01
-1.648549e+00,-1.023716e+00
-1.856845e+00,-6.918266e-01
-1.632435e+00,-9.049920e-01
-1.664902e+00,-8.531847e-01
-1.377835e+00,-1.327065e+00
-1.442173e+00,-1.313494e+00
-2.773380e-01,-1.360604e+00
-1.783599e+00,-7.520021e-01
-4.724958e-01,-1.234898e+00
-1.582822e+00,-1.021095e+00
-1.588204e+00,-1.057180e+00
-1.904971e+00,-5.752861e-02
1.401235e+00,-7.226506e-01
1.364531e+00,-1.057407e+00
1.483581e+00,-1.037942e+00
1.607732e+00,-1.086494e+00
1.563237e+00,-7.987545e-01
1.574059e+00,-1.034263e+00
1.473452e+00,-1.067009e+00
-3.695959e-01,-1.024398e+00
-4.625709e-01,-1.180422e+00
1.582282e+00,-8.162954e-01
1.542668e+00,-9.042429e-01
1.315290e+00,-8.110932e-01
1.488191e+00,-7.918974e-01
1.476422e+00,-7.110289e-01
1.407015e+00,-9.087730e-01
1.432542e+00,-1.166466e+00
1.441857e+00,-8.053263e-01
1.323901e+00,-9.444597e-01
1.589970e+00,-7.838459e-01
1.287116e+00,-7.823278e-01
1.486994e+00,-7.395115e-01
1.331812e+00,-7.942417e-01
1.413483e+00,-1.138352e+00
1.441044e+00,-1.158406e+00
1.363590e+00,-8.978406e-01
7.251957e-01,-1.449255e+00
1.013107e+00,-1.645257e+00
1.388606e+00,-7.192337e-01
1.472220e+00,-1.335703e+00
-1.623684e+00,-9.167963e-01
-1.783628e+00,-8.516903e-01
1.486308e+00,-8.505631e-01
1.481164e+00,-1.147678e+00
-1.453713e+00,-1.304074e+00
-1.527816e+00,-1.165626e+00
1.393134e+00,-8.211587e-01
1.703531e+00,-1.043442e+00
1.474423e+00,-1.319619e+00
1.372500e+00,-9.384575e-01
1.465942e+00,-1.021001e+00
-1.787110e+00,-7.156130e-01
-1.421478e+00,-1.285686e+00
1.232583e+00,-7.869437e-01
1.275041e+00,-8.398871e-01
1.566526e+00,-1.017573e+00
1.481121e+00,-1.252153e+00
1.506113e+00,-1.135791e+00
1.326075e+00,-8.270703e-01
1.345255e+00,-9.651578e-01
1.564346e+00,-9.378835e-01
1.518661e+00,-1.125707e+00
1.412104e+00,-9.319853e-01
1.432310e+00,-1.078606e+00
1.486480e+00,-1.013348e+00
1.421224e+00,-7.882026e-01
1.331775e+00,-9.507891e-01
-3.646895e-01,-1.289409e+00
1.302343e+00,-7.337461e-01
1.425222e+00,-8.430487e-01
1.567787e+00,-1.011023e+00
1.483829e+00,-1.226680e+00
1.409397e+00,-9.014049e-01
1.416330e+00,-1.121038e+00
8.159151e-01,-1.458397e+00
8.501231e-01,-1.526641e+00
7.546723e-01,-1.452431e+00
9.919068e-01,-1.431971e+00
1.284096e+00,-8.218389e-01
9.455574e-01,-1.610056e+00
-1.543549e+00,7.926732e-01
