,R,v,kind
404,10.17844814489282,35.121918728690574,1
4986,18.758622548829784,34.102965602976646,1
3103,6.833516745303558,45.8481242410188,1
697,12.621501697088654,61.58351485677932,1
8897,16.151398415445723,64.82945479548161,0
1293,9.96876190062195,39.016946732733324,1
909,17.076002408342365,36.47461343271438,1
1588,17.281182107862907,40.616126945315756,1
227,18.67169081633364,17.623409567537532,1
4152,12.41090982864903,53.65784490648531,1
1378,5.474072252947585,74.73277372422605,1
361,19.626790300310763,61.91516183229711,1
1275,4.585410826405394,40.14974709335275,1
8251,16.909288557002572,79.06398497956356,0
4987,9.288333645291287,64.19287807693057,1
3365,8.337720917943571,63.78853896442276,1
5443,17.285527378976504,65.4898398690719,0
3224,13.035540792675798,55.33645791299103,1
6091,8.700444991733711,24.400829181387838,0
8783,3.1896143160356085,95.16980559184164,0
1091,16.50291529536812,62.144686929206465,1
3290,14.317865180982329,43.07386272683911,1
1151,17.343259625473245,68.77839909206145,1
3575,17.055226550996608,70.5530155610261,1
3945,16.93748049835197,59.490138002381364,1
1224,19.479744120573315,49.37049046293389,1
222,8.14980918262091,33.11946115501045,1
3588,13.579569417168678,31.20256868895489,1
3449,6.6376999485424415,37.36549208454751,1
1303,12.067577983226812,58.673554100649795,1
4256,8.700899026896849,34.319810765606796,1
7388,11.932116124248047,39.379894464079364,0
4032,4.207819682029648,73.62346139575419,1
2869,12.279930987666939,52.76075792926576,1
185,13.973235176785085,44.81399073317329,1
4420,12.770961628359409,65.5512385323523,1
4696,10.341495092394506,48.7774918252187,1
4460,4.4644711958241565,45.362006149047716,1
4636,16.133196162248886,48.614320368945684,1
1153,4.837110072381269,47.861854312168596,1
9598,11.354702625501485,77.92274422076021,0
1371,14.97235292649358,64.22127689106694,1
1315,14.046422050283114,47.49338406962627,1
978,15.794810609189046,62.21427455842428,1
1271,9.966297137918488,52.479996081691425,1
57,11.615940632739928,54.43115838217922,1
2399,17.059858945765974,48.05070098286312,1
2184,15.224150679661262,33.05840728047989,1
4637,16.133196162248886,48.614320368945684,1
3327,17.778107237564672,61.13349823395773,1
950,18.041416284280228,39.53469372365824,1
226,11.91645357979082,24.363432596757683,1
4322,13.396222538048502,44.99147348951145,1
5453,18.82378546724601,73.9365652071813,0
2149,18.531785351634806,58.22155135588335,1
2273,16.475664579891294,49.29762271259327,1
1547,18.224159879442606,38.60508695068079,1
8712,18.01188999480718,26.158573737906448,0
194,15.154989140737092,51.72897617566608,1
1815,18.686401649923198,74.56542255469759,1
4984,18.12602062550146,29.38056425355287,1
2087,7.487185095149193,21.653280090290554,1
4575,19.654555442993775,36.810601780087474,1
1163,8.7938828904582,67.9157666364277,1
1205,10.675935740172127,57.610779427271616,1
977,7.558793001776793,44.246092462710465,1
651,5.910655872259159,41.76521512600893,1
212,14.21215289539566,71.45307572878485,1
406,19.02260230079704,45.45527989055192,1
3603,16.05652849771446,51.91712384145562,1
492,14.830418316949668,51.56173691855303,1
9220,19.805996204232763,55.62989221172983,0
4520,6.641359170438182,49.25668421216655,1
103,6.940429935908719,35.15393140944744,1
1007,15.327048690239033,45.47049977682581,1
2511,15.072742743398702,55.622497100362104,1
9463,6.097713593280789,36.255906618089924,0
798,15.683378112779872,44.966713964209994,1
5493,18.419177496116614,86.10066487833386,0
5476,3.730527233612662,84.85194306535922,0
2354,3.9704767940293433,35.95852791481071,1
8781,3.1896143160356085,95.16980559184164,0
329,15.799211379561124,44.1159238565022,1
603,9.993454445390212,46.846064009400166,1
1501,17.877011987458477,57.52474476038808,1
2548,11.370561447387793,48.55367935378954,1
83,17.050902135416614,20.008064971405712,1
4962,15.21319500279677,57.96086828835385,1
3299,6.919065770351175,40.563268775317404,1
7723,19.495761088422295,67.16249495246075,0
3946,16.93748049835197,59.490138002381364,1
408,19.787969338514227,50.59784660461686,1
8052,15.716892798293273,26.57502993438704,0
2585,15.374600383557874,44.68291817612168,1
2086,14.749649282180162,45.57950093249968,1
4023,13.928340471519231,57.30799739231507,1
1115,17.942718821827725,32.64135327202068,1
3844,13.462891359481382,43.01844045830494,1
1768,3.946487718611875,41.52187626065165,1
3969,2.770130504491512,50.09751887541474,1
3480,21.7318323209835,50.151505551360685,1
508,38.04057073445203,59.667025356507864,1
6321,36.584121472049326,80.57522300817675,0
290,35.084398689826735,49.51717184548645,1
866,32.98082671185844,48.80018289118817,1
8205,30.5262970335785,62.39021108565893,0
