,v,R
8897,64.82945479548161,16.151398415445723
8251,79.06398497956356,16.909288557002572
5443,65.4898398690719,17.285527378976504
6091,24.400829181387838,8.700444991733711
8783,95.16980559184164,3.1896143160356085
7388,39.379894464079364,11.932116124248047
9598,77.92274422076021,11.354702625501485
5453,73.9365652071813,18.82378546724601
8712,26.15857373790645,18.01188999480718
9220,55.62989221172983,19.805996204232766
9463,36.255906618089924,6.097713593280789
5493,86.10066487833386,18.419177496116614
5476,84.85194306535922,3.730527233612662
8781,95.16980559184164,3.1896143160356085
7723,67.16249495246075,19.495761088422295
8052,26.57502993438704,15.716892798293273
6321,80.57522300817675,36.584121472049326
8205,62.39021108565893,30.5262970335785
9080,89.39983324451799,35.842954784385384
8964,2.0064846648430805,38.80592031772045
7831,51.70914893813644,38.14700932128964
6675,77.12173861427502,24.2990673714128
8963,2.0064846648430805,38.80592031772045
6756,17.127776286081563,31.408972416635322
8456,77.36637310023724,33.542591117961734
9813,26.073400806665806,39.799250527034346
9527,41.591384195510905,31.07072798468329
5123,44.13801562441328,35.718134958882544
8597,19.45871888692041,37.147863785427255
9712,9.21391483922188,34.173228058670546
8252,18.477051099505942,36.85404185939939
6180,21.565723913460975,26.51762817835147
6191,16.74882542809546,27.68279722598691
5426,83.24753920398636,37.019593749897496
5061,95.87780843461123,27.129903549981595
8730,10.69029316783874,33.59811751082571
6087,78.52972134754181,39.02574150055744
6095,91.66780963233124,37.21830713321601
9385,74.05385245635816,38.82745820826832
5133,53.95041106056709,38.293767489157744
8185,84.89766974106007,25.547269163868734
8700,81.90481769598269,37.56234714144936
6135,4.169104632586798,24.127391942388037
6963,50.99782367651594,21.287864208817407
5334,74.40845240114878,37.72873689234532
6096,91.66780963233124,37.21830713321601
5288,23.79007065495243,35.486965905423936
6294,66.1583612220551,33.196823855625766
9812,45.62639564676272,29.154446512664023
5433,58.77423722221649,20.12246038401921
9286,14.681173369444227,37.015904621688506
9013,59.189908649447275,27.579461545970933
9011,50.86648891403095,24.04173750237717
6300,58.23151715565788,33.343937656492905
6238,44.498852155537854,32.649374106160955
9882,1.9020593714207727,38.23432701388751
5467,68.09175453359725,39.51541700720483
5434,24.971621489603066,50.03479362432667
6678,60.50539982429218,49.89195951128471
7197,99.80452202377606,56.654209767237404
6601,59.77171125209812,54.635157541267795
8258,16.5913800348701,46.8942578750126
9741,78.02807567928691,42.09231052076797
