,R,v,kind
23894,0.8628168261273643,37.85743492846961,mem
13172,1.0016556487010426,47.60046040706714,mem
19948,1.5480770665841843,36.61630033198962,mem
32327,1.6025992340171094,65.73274735634263,fg
8935,1.6089534073499507,19.610324284170552,mem
202,2.763743616144417,52.66754973854564,mem
28038,2.8199683244127702,94.57848244441854,fg
36509,2.884494985002476,65.19196983040615,fg
16764,2.9275636364647566,53.148319770899924,mem
26163,2.9907486411803923,83.09764629824156,fg
10014,3.0274010428772367,43.06421817779362,mem
18494,3.109645134963813,53.16700564209201,mem
29584,3.1896143160356085,95.16980559184164,fg
2384,3.1909902704917212,61.96175821508536,mem
23847,3.316447846107387,48.238273187817114,mem
25638,3.482246850791732,26.689060673082,mem
22731,3.6020748923760166,45.94498291167729,mem
17989,3.6213005615441753,47.123575600448035,mem
26277,3.730527233612662,84.85194306535922,fg
5140,3.8636925962911586,55.045627796254436,mem
2354,3.9704767940293433,35.95852791481071,mem
11613,3.988875646570573,54.23054989104546,mem
15478,4.082268558920932,49.909382165239975,mem
12818,4.116905292372231,52.27606695131614,mem
7132,4.212483323032013,37.338558385908506,mem
20072,4.312136166633223,52.40063146227732,mem
19749,4.4630309559018135,69.17049985960247,mem
9296,4.5602261297357245,56.91592150465307,mem
23113,4.590095150740866,60.513925707400595,mem
11649,4.7266847070769655,60.65430112763605,mem
9867,4.8162280086733835,52.33053530038718,mem
4705,5.19705340697262,41.287695281039476,mem
24511,5.198428747341618,52.7347829056465,mem
14942,5.22117738485737,39.84863999899,mem
24940,5.33853572992889,64.48725441801857,mem
1263,5.345247048122053,50.86004086461213,mem
37221,5.5128401959841975,43.38246131884117,fg
4648,5.517275222318773,45.63501251750304,mem
24080,5.714701574717133,50.9606733640984,mem
7172,5.733481991659282,61.24070439250389,mem
36591,5.786805574351924,16.74901456641709,fg
10985,5.825766706424482,36.0658549410149,mem
7073,6.042990609017353,49.705322746275556,mem
19183,6.094004777518465,39.71575063252937,mem
16338,6.114949233699505,57.43565507494724,mem
9297,6.126410191977088,71.75437724550461,mem
11696,6.1347076127392475,51.62133006337668,mem
26844,6.1354018350695725,86.59904612500361,fg
677,6.1398924410600735,40.58705882020861,mem
23679,6.154858525687008,59.75787272670181,mem
21398,6.192313396398598,51.219860999431496,mem
21850,6.239992669856484,59.16435791659865,mem
23153,6.244765227255385,51.20930070111762,mem
8763,6.254825127542772,50.6192671250959,mem
23379,6.2808361526173035,52.383404735161506,mem
38543,6.322521678328457,8.816332218632773,fg
23229,6.374402398516537,36.0771919439359,mem
11860,6.39078514793322,47.37472763679365,mem
11861,6.39078514793322,47.37472763679365,mem
5258,6.393379428543671,24.406402526926584,mem
104,6.457569826340044,58.27984234905411,mem
16194,6.483065709597803,40.83675174579703,mem
14718,6.6072319270833,45.9767705571776,mem
6663,6.650538461666202,56.87097791293343,mem
42932,6.720472746151426,24.340712792984036,fg
6719,6.724663174537286,52.455456942674466,mem
11480,6.754185053760565,60.22821490216585,mem
3657,6.7919879074012135,40.93951595314447,mem
13726,6.853656973670333,51.05608895060402,mem
9202,6.862745339146122,31.22855916090064,mem
23815,6.931589992383097,59.55590205290085,mem
25399,6.9665398172845645,37.76195548501559,mem
45368,7.078538620559485,82.69686624864329,fg
4609,7.145920637637568,53.12835683510707,mem
14952,7.148907718924942,57.61612910225408,mem
15043,7.156393030660702,28.860860282907467,mem
5060,7.176710121711245,43.71410370328631,mem
6068,7.184261564230669,70.83890653809614,mem
22502,7.188096554166428,52.89592309678407,mem
42961,7.3663466042627075,80.91687776859118,fg
42962,7.3663466042627075,80.91687776859118,fg
30517,7.401966965522451,40.64769119220045,fg
6372,7.435354533375032,57.32319428495654,mem
35373,7.440927552514209,24.24952478566495,fg
14820,7.5432338307245885,53.81528792661382,mem
6137,7.667876138100468,56.91023613990385,mem
19119,7.762674896963446,65.75610749787795,mem
1232,7.7906225220880465,50.2376507336715,mem
2852,7.844712370229567,53.80118074069422,mem
6844,7.8552033324269965,47.79877872076679,mem
40992,8.021856669359522,95.9502131521978,fg
23539,8.066658261966325,56.50610137315629,mem
222,8.14980918262091,33.11946115501045,mem
15844,8.248424079434216,42.89612968592247,mem
2705,8.265909596899085,47.751422074543235,mem
17590,8.346381938154124,56.549063379046466,mem
22017,8.41437044212833,61.70751850653164,mem
32514,8.553923445270602,60.705192594807606,fg
5814,8.579265194335289,48.56257480260943,mem
26892,8.700444991733711,24.400829181387838,fg
2392,8.857591002206592,58.09376073034966,mem
10710,8.919511020455523,43.24995231996591,mem
18958,8.991003184170065,55.79477767561496,mem
36552,9.085098950295148,76.97215341812614,fg
10105,9.310984100160656,56.755596997645256,mem
20392,9.336393538261008,55.6149946904344,mem
22307,9.461690024759447,55.62685694660753,mem
15805,9.463275436864539,39.927472392760436,mem
13883,9.658408054822104,44.15753600393845,mem
11838,9.6857933045921,57.57403282991542,mem
8133,9.762736409874714,49.41744950728,mem
12620,9.849951562699516,56.24601752559103,mem
20361,9.95993632049661,40.47391334977014,mem
5479,9.966587015869948,59.4924655314888,mem
17041,10.023111556749626,23.896594624685807,mem
19436,10.094133734288695,45.1068988610553,mem
7848,10.125951514219004,68.93008354507708,mem
12173,10.136077706114683,46.768149561285036,mem
11791,10.148975796371404,54.26703711353258,mem
7105,10.168360879861247,39.87290194752188,mem
16394,10.168798074297724,64.31095964728247,mem
32139,10.177823567814489,58.30493168843874,fg
25361,10.259457617445939,47.4751852071268,mem
49013,10.302785508177763,11.150574678377113,fg
21778,10.365112300508267,45.956884711910476,mem
24850,10.37110813777047,25.91843601984847,mem
17345,10.38721645878391,45.2659364868859,mem
16864,10.387927051317902,61.68588264188086,mem
13719,10.421786782719069,37.70897664114601,mem
10093,10.440634396750042,65.12023923837687,mem
12762,10.456503519455623,53.3087941858838,mem
12155,10.494680733593894,47.75103003483486,mem
35675,10.504470605359801,95.32781533533074,fg
35676,10.504470605359801,95.32781533533074,fg
6821,10.531656005698252,38.65493757593242,mem
13646,10.54585623197407,62.74114810770018,mem
12249,10.619814695146305,52.79135133393554,mem
48178,10.635227880483498,68.32422788032378,fg
33172,10.669601896773138,6.233150509473869,fg
41861,10.670997108204018,88.8194643484877,fg
1205,10.675935740172127,57.610779427271616,mem
7086,10.729825665059126,62.71796631003003,mem
2107,10.974631211485882,55.84876694226557,mem
20387,10.980176681200804,48.795216376418104,mem
23415,11.06729371624656,52.42927764762409,mem
36592,11.082147859053354,10.534396892217234,fg
45606,11.088367579268713,67.54313881460085,fg
22337,11.10289309821681,55.3573576472664,mem
7191,11.13928464107564,41.078030664557424,mem
6329,11.301795111472904,48.944990734273354,mem
32439,11.326118863594965,73.32626153565448,fg
40055,11.366379190248153,50.315551561081435,fg
2548,11.370561447387793,48.55367935378954,mem
10221,11.49158906234813,57.696498111799116,mem
21958,11.601563436167073,37.905093871681316,mem
30837,11.696268488708803,95.3708560350583,fg
23985,11.700475260334079,32.345879443428935,mem
20077,11.741626568362891,55.689998654277716,mem
50249,11.861251166951012,97.81341736361506,fg
16920,11.944916682336252,57.62931906082957,mem
25253,11.973008361976582,75.5424776861851,mem
25254,11.973008361976582,75.5424776861851,mem
13622,11.977235482095814,55.822688767634745,mem
9369,12.069008170246404,61.21861441926132,mem
7838,12.118379958823473,38.71612458072829,mem
7648,12.128199324567035,51.52592105426319,mem
21801,12.136935594416132,27.209179301925047,mem
24228,12.194536599380335,66.02753552526964,mem
20174,12.27831717583939,46.445407476404654,mem
23061,12.305203481244178,45.395110841119966,mem
20940,12.394913615335259,67.4410015427541,mem
697,12.621501697088654,61.58351485677932,mem
50849,12.644508322478918,22.764860905869426,fg
21672,12.64871635800035,58.832401550624674,mem
15235,12.733995375328117,42.83512576013165,mem
20146,12.769479520644355,38.306821923526506,mem
4420,12.770961628359409,65.5512385323523,mem
3712,12.785640222494411,58.00047575306168,mem
1337,12.787530756622006,83.03581347817371,mem
15638,12.84832529063657,47.10526440815092,mem
3300,12.926250266754026,50.15523378996219,mem
20175,12.98827876583728,59.6413699064673,mem
6065,13.048655222972435,44.600932224913606,mem
5906,13.053351281719225,45.18513270508438,mem
10861,13.058192836536158,47.56029401626825,mem
5217,13.075866690023318,42.490959945918796,mem
12489,13.088495650664244,58.79005075188065,mem
19794,13.186282546075669,69.93421100387548,mem
22418,13.210278056157186,54.76433385130397,mem
11606,13.272343771216585,52.0842866399337,mem
24637,13.308648348574586,47.88871922335557,mem
3766,13.327519009891072,69.30639715759479,mem
13760,13.37068044654218,59.972312704333106,mem
12967,13.427118510772658,46.01337443679495,mem
1273,13.467872373648445,40.74982791426343,mem
19972,13.541841777681293,57.06738749804722,mem
