,Unnamed: 0,R,v
433912,433912,194.70802513492947,38.73033245965764
676097,676097,148.42314493730328,39.126640369941676
959875,959875,40.00103043628382,40.174935628121084
351316,351316,117.54130748046292,34.76922527828944
618638,618638,72.24243165538911,63.84841024056282
95767,95767,65.75119055133247,60.972361354872724
877678,877678,31.446506723692018,51.50964532214942
120843,120843,149.71187882025927,53.09346621040999
885769,885769,47.93515189989371,62.32222457912039
868116,868116,95.2133359170392,84.85048912375571
441077,441077,116.84466319566471,37.40494021805765
533898,533898,154.18411003957743,52.12210420424346
548826,548826,9.789380148478427,54.30035137955065
112297,112297,59.31806897875236,60.74561119550263
447398,447398,88.78457158948156,59.139217015991925
278262,278262,97.82861824494292,29.857786613919288
997156,997156,45.12138668593032,41.36291585778804
883870,883870,143.9179084039658,40.40362056747067
457069,457069,67.65707608230875,61.95671225080503
297083,297083,162.46619953725332,79.05272460891801
565641,565641,63.24532058550213,48.88125567448121
616606,616606,98.99035000108209,44.41956281422614
771782,771782,48.8270088428366,45.825712038611094
708337,708337,102.3680021468763,55.6975533407314
470224,470224,64.40040844773954,54.46348892915429
945575,945575,146.25739190622562,77.95753103396966
300482,300482,88.20300700275543,44.787166680930994
828766,828766,131.6053446482637,23.59718736508809
663509,663509,52.58153385378666,77.6823545471339
92605,92605,111.92381564892523,65.28274526474038
346751,346751,186.1569990210432,53.85450897010562
142997,142997,20.522729150946788,48.21316522476253
564116,564116,43.85102088659799,46.66458936330686
111356,111356,54.479752551806726,24.66539705866021
581282,581282,57.60019039499985,54.47838381404507
108799,108799,45.024088643911504,37.47508409727216
385926,385926,7.071259691135063,54.57616471305021
875650,875650,27.40107553775538,44.64709559940078
637036,637036,16.813670749707722,44.39923722606893
270613,270613,195.4734837057044,12.976851844850259
823933,823933,171.1656462956156,23.04516937897544
669978,669978,82.46652772028708,52.336227811810296
312565,312565,83.48624431597155,56.721826801307046
34056,34056,41.341850084682676,24.897482401700216
743098,743098,13.023308066267886,30.52935108400846
550224,550224,73.34620966477179,30.73596962051836
491824,491824,82.53652087197052,33.563672141847896
905186,905186,129.51109565363248,76.76309393722563
440274,440274,92.24871714631723,54.528196459158174
792347,792347,68.76542684811794,56.72595730854634
736032,736032,148.27909626235208,33.05103625661342
868729,868729,179.9893732216637,41.309970759963726
112109,112109,90.96777274134917,76.29527044402994
850712,850712,37.52595118992103,50.62371180846962
244683,244683,51.701406236101946,69.5063237377414
238237,238237,59.716680058004506,60.64686317621431
835106,835106,97.71827897728771,25.244439363594488
908261,908261,172.22463479550493,26.178437764250102
948240,948240,88.11422656204489,58.031038217686145
19950,19950,130.53140475907213,26.854885538857328
995642,995642,46.25650203593344,46.64521483296536
742048,742048,124.36569866406649,17.734145051535847
77541,77541,107.96399260600373,28.68875416315077
221184,221184,154.20702145990904,56.71339017236343
740629,740629,40.941935239507934,39.92470478364434
937918,937918,123.42467616963316,49.309555003911925
575882,575882,103.85159201734119,87.54424486456844
423019,423019,47.62528365867154,66.98906405907387
732818,732818,53.63710569002572,35.583678237297725
462008,462008,18.613879559178574,70.40656431876765
689105,689105,57.472815255609255,29.56358442943496
862752,862752,30.280190124300614,39.96993607750434
881564,881564,95.9074664420564,34.063913550001644
987569,987569,59.48301676105178,49.98115851630536
990297,990297,46.62114841480189,35.42450065606869
674516,674516,118.78430173212152,59.459861631086966
973301,973301,86.19691925864664,50.59485148953653
535772,535772,30.630616394027435,36.98810273931598
638182,638182,55.632774301560104,35.2433829051918
417924,417924,163.49016135633258,56.212828469113084
454933,454933,102.16885697260496,22.287179408183327
340260,340260,58.67839901056622,27.323588804131774
502190,502190,52.00161101334622,50.80608969168507
649000,649000,56.587004508218634,33.746496656938426
237224,237224,90.69712637169847,62.85416245732434
567647,567647,44.82134388042481,33.689422713582466
641273,641273,73.37282561947677,54.327032519246615
716991,716991,37.605341709319646,52.492564025496996
5894,5894,15.43754208859101,40.85358484697291
163356,163356,74.23975260072736,35.745404609710285
950964,950964,82.9960136288297,47.156701906378615
158341,158341,183.92256847569075,46.61919695614395
44578,44578,142.07303758471198,51.937556999523636
387622,387622,135.9417541814288,74.826084976801
243630,243630,21.66156879183444,67.2616864661896
175780,175780,120.1734682783284,90.92233626858605
716025,716025,102.07884041618344,69.62781362502922
832870,832870,6.5337249685834875,60.43401728639054
864391,864391,85.85626053414632,41.79469824349524
918234,918234,64.78689749439968,41.37757606293363
20504,20504,54.50083822095554,52.67589907910357
404235,404235,80.85233971092127,46.50022640044257
900941,900941,139.03510770638442,54.237421183968145
322016,322016,50.670163947649456,45.96917874423272
485238,485238,134.82689530725472,74.32260643936209
523364,523364,48.31019595409519,54.71929951957252
971810,971810,48.36763881302368,77.32718291724228
410095,410095,54.094129947416896,32.99237817103929
740215,740215,58.018826476444985,40.05093081881043
170473,170473,172.5507179719747,36.536573145992506
434927,434927,124.34871281003727,21.194801718594263
618810,618810,7.061956504591062,47.79772733040458
454400,454400,159.80428117610649,6.429353525346961
204620,204620,57.255669600953844,61.27869646717404
482125,482125,64.00062866447178,27.884462647669864
343066,343066,126.59590503137512,45.8303621374977
12208,12208,30.476851625400943,57.97439236831765
618131,618131,64.84140423880746,31.641616449367838
60341,60341,73.95776729517766,50.29663988231564
206185,206185,33.52458856973222,42.52060667006681
139335,139335,43.811687331220156,56.92794493007042
401153,401153,24.809661349327932,43.93605456039243
446728,446728,128.82189358405364,46.022683677190095
140664,140664,104.00609029212838,22.37843537386453
928112,928112,118.7811536744198,44.57603572418081
965064,965064,106.76483126518316,35.865187232726825
535315,535315,73.23261970349259,68.75648021572135
931536,931536,122.87953685440391,78.39369782777405
676628,676628,108.13791349971771,77.08866423881116
918485,918485,61.99116455772332,67.46005896221646
237031,237031,130.45438074881503,53.792040542439956
603047,603047,43.98697647504319,48.6690535805889
804521,804521,194.69350831284683,49.12388421141469
413287,413287,82.55815681756336,70.41670739564884
505890,505890,38.18197273940912,35.19569076172365
917455,917455,135.25754472130274,57.609786118582456
911601,911601,101.8474412593306,20.580948075167264
608763,608763,44.70004758871157,63.6270770149049
73476,73476,88.57350495165409,47.82563810389033
606310,606310,66.69772753767836,44.06304847008442
514326,514326,162.86004179676146,29.435255672748145
98283,98283,189.12893997896802,80.84877378468097
482624,482624,7.847763452720496,53.82847479625786
25573,25573,129.28974467285036,43.65274649198727
348979,348979,84.45033794295783,30.33460717335873
211400,211400,177.7342591264289,58.88408955911372
146341,146341,125.57572444771485,85.15361644380313
893774,893774,161.31997316147468,41.452782660196064
996739,996739,122.21634943351444,66.51473958986293
521647,521647,130.1837539075375,65.03099036159605
50859,50859,32.70489174849379,6.8643625764185785
988833,988833,94.10117084214892,42.935629541922545
702579,702579,61.146691256949694,38.537788859364575
382821,382821,50.071540626887405,51.23621282516841
250914,250914,160.14817401717985,63.68606070523282
965294,965294,100.62289498440096,58.61130665260766
363797,363797,90.81393641662837,62.19523771632525
291461,291461,73.53399526402187,44.65447045315262
399744,399744,123.06916622633318,11.017178759693243
816143,816143,84.23620971298143,39.4959822549596
555994,555994,185.42838852735628,77.74356305869101
185964,185964,5.497277813143083,68.47040980153969
599593,599593,37.49777198729857,50.25840369278313
438690,438690,63.180961654456475,65.96035796941865
613690,613690,16.883730033886433,39.1527702328775
178428,178428,89.01992266671145,71.22948728184937
420995,420995,140.73450505968287,71.91058138162437
466976,466976,31.558253538443488,47.096115791534956
149938,149938,50.675142617782285,68.38950897787599
190645,190645,119.11886492323484,91.92522883441963
50869,50869,14.289037663775751,72.06477515848997
88969,88969,87.74238715740739,93.7124830021607
709690,709690,52.93108129265221,35.937803355074614
242719,242719,36.77776622186961,60.431820211730546
87753,87753,69.78623674673129,56.65250416247322
938806,938806,10.732790789831473,54.165790326486814
553146,553146,52.729782914605074,68.18086902789804
400428,400428,164.81000007132704,15.876921557893702
36597,36597,37.88138838291728,45.128219895964136
278299,278299,62.29949349244464,50.197612400082654
223785,223785,37.04369952151331,35.43483860850545
638737,638737,93.80273277547596,85.55406360010882
851584,851584,115.01863183701631,53.41612797103394
276705,276705,76.5536767223913,50.98109148385597
411981,411981,99.8330965911472,34.78668086549674
872147,872147,20.92891116238016,54.65397342488328
27243,27243,170.21199330666644,62.715318576690436
19935,19935,131.82971759539404,58.40455291368259
558933,558933,83.28951199589851,27.50270359939416
621653,621653,40.2551760177701,45.018671518856735
443832,443832,68.6665405829607,68.66450941413483
828835,828835,39.04788450102709,52.52178736663424
271524,271524,123.63697526995679,51.133107131798496
817649,817649,140.35114043262652,17.659374027458302
736014,736014,76.83488962343814,50.80345850701429
750995,750995,70.17337818843964,55.71023792554274
921003,921003,133.13672656354078,47.62995183075416
228469,228469,112.17942281797724,59.88225715606689
342624,342624,173.9091450550143,65.00708525662999
445899,445899,126.29721869423643,44.16206672362612
45408,45408,9.865157224302218,40.17841238560001
437765,437765,21.877481971962943,46.508985865503725
685341,685341,15.342967571876367,50.92349177607793
935011,935011,83.38854064120103,52.93835960665244
388425,388425,138.2498687674892,37.43080614334381
971285,971285,21.318229820854825,51.91899783641856
312469,312469,16.040669210245238,52.6083215483288
238444,238444,86.0304479362607,34.47915261242522
819375,819375,151.90607049020647,53.878745590313905
163857,163857,9.027626233004609,53.95479858272147
989104,989104,12.657787053262028,53.71690823822916
596755,596755,38.904291998924755,58.77594871232694
250581,250581,85.62821240735249,46.82303136020675
784723,784723,87.23554643583746,62.28325280753539
181376,181376,180.76434450674947,77.71290032309928
355101,355101,46.97467836432169,50.170450083115256
441082,441082,53.34099884189624,53.153612470637256
962504,962504,104.26348087368557,31.343846998944173
775655,775655,77.19063439527488,36.690816882532395
988813,988813,101.02402263531977,73.89221559579444
760634,760634,22.28232068222445,46.58877142408002
268942,268942,147.79945772175978,31.38981813826181
142554,142554,114.67812149086748,20.266906658871516
49666,49666,196.55983576490917,1.6719011139420985
851350,851350,45.5868632152137,39.50721133916602
543705,543705,84.81457187051701,32.453588355722644
776131,776131,195.90428728081062,3.2553428646255256
374157,374157,153.79399680138783,42.44324383697538
731240,731240,77.03902666013917,53.37816706910952
687568,687568,80.31670514007551,41.85557826765993
565603,565603,29.035379376077447,55.56031715483915
49765,49765,94.38312126960938,37.19928708366715
426848,426848,85.37700233867695,63.08103590528953
217142,217142,77.58376385554772,42.82255784331897
322666,322666,153.18496549829123,89.37483463804882
321567,321567,23.292907907424738,48.84103250442398
4111,4111,143.20229649961325,49.305031496941346
665512,665512,88.26491775522709,92.39416213124666
339770,339770,13.998364682504642,63.62265210224767
631785,631785,32.53302988098329,40.353676515113825
280864,280864,53.431383296373994,35.07378449258533
574321,574321,90.92733253310988,32.20483705219634
628885,628885,57.99806756673151,71.82603084784486
219267,219267,148.36912026546304,44.088690405859936
893017,893017,19.408652934463447,68.02578575423865
257896,257896,66.87976773829047,31.20694490226232
762517,762517,53.692180769700755,39.52590662153017
768028,768028,13.579167465729167,76.10095133374635
889362,889362,192.58731045041543,47.79231786252996
409512,409512,91.7864762653333,48.63809876922446
125565,125565,120.33841042950694,23.077119113106388
388906,388906,152.88900750121726,67.96806218501125
795600,795600,98.08198597124321,43.56579948544013
909999,909999,32.06600078908082,46.06835203616791
297016,297016,33.98471433607523,56.35318953769011
40897,40897,171.68627511826787,79.74936474907871
224260,224260,47.98050220829413,28.516717527100802
963713,963713,58.45048792346921,34.62783514639237
784907,784907,54.87680153440093,65.91001652218911
137178,137178,63.035816931015695,40.18215749529911
809612,809612,113.486671203344,68.46272981157317
603163,603163,65.1319668943793,47.62754349205553
830502,830502,83.65436314213956,67.31204794674346
191376,191376,20.727579716347574,40.233800806210276
779229,779229,90.02513909284137,10.89922399005183
453850,453850,86.61857708484695,63.254933530104104
759346,759346,133.54539351484038,17.878165558577365
746650,746650,82.85404461258483,84.91951123049662
847948,847948,45.25509602614307,61.118535590007475
120123,120123,66.38984211861951,37.77317844928912
428744,428744,56.632417778788394,45.75166031003828
299847,299847,70.03970209021726,82.96400477605032
843849,843849,68.83941936458417,63.36510930921764
843521,843521,66.07352778568527,24.79749007039908
732720,732720,90.76943018216521,40.04748146590513
292033,292033,38.067378740818704,37.04320774762701
382947,382947,129.7385207208233,71.4100010512344
589628,589628,15.578911798039035,45.82491942037573
788023,788023,155.56525728081317,47.47170878092901
126569,126569,129.32158991150567,35.2872513245685
312258,312258,50.028930786474746,37.80116212553946
159583,159583,111.20755031624479,61.9330325775959
403660,403660,23.235127943423084,47.302706723093785
181410,181410,129.15529334156088,43.45695216128128
231034,231034,135.24310463255458,56.07337109377034
905712,905712,65.85864318712525,54.016727997697686
183101,183101,104.56429284813505,75.64147289967953
290631,290631,5.3719478613402,54.00368212478299
143997,143997,60.515313091313146,45.92270028063033
180835,180835,36.71390588940815,49.94193727562651
76132,76132,68.27003888345502,69.45046056821514
259730,259730,32.107632577773145,62.73805117392583
2963,2963,56.88734500765101,31.667106945307665
491091,491091,58.02785934590472,52.99333070715034
299199,299199,47.651216550767224,34.35503484442497
104021,104021,117.67359879539976,41.256621909837406
449465,449465,130.45542483825747,64.80554779602225
148338,148338,12.082496786264956,47.69766229279079
134541,134541,128.70306910475716,15.122751737052177
724980,724980,57.91535329458919,44.72718924808485
299783,299783,19.68243000098773,61.01852486095967
798260,798260,34.47103372270377,60.8563404332304
655107,655107,88.17880317682925,61.11304901957535
496168,496168,151.9882942021365,16.693456556781655
62921,62921,56.099297858573166,53.899947889136804
828694,828694,81.5314718158648,67.45262737038198
13101,13101,71.41331604877945,52.18356677508736
209013,209013,120.38994715097373,53.069447262299654
989647,989647,117.16407935373987,64.46633699222495
810296,810296,77.00939658341895,54.59329998957304
330146,330146,30.682934848592968,31.711660686546217
967590,967590,139.73252541269198,64.19578829090318
455517,455517,50.9422536807224,52.293405468125904
147700,147700,98.79235261373908,25.85462605886715
725721,725721,124.18956951496864,62.617410106510256
214220,214220,144.52173509687472,29.52213555890845
700501,700501,132.07792055075572,58.90646264207047
447864,447864,101.47990246730915,83.30641802019261
18806,18806,92.25397437178394,81.73060558695376
524937,524937,192.7644453850856,69.76320723994603
930510,930510,118.75000222096938,55.115099923970654
717445,717445,10.686444816369931,61.35564866688277
161951,161951,158.98895276826275,44.98063593733089
73545,73545,60.756008271750275,79.19246753006955
768754,768754,74.06535701991294,65.84376650844132
20172,20172,90.68796180697659,74.84238033811043
233549,233549,128.8540305306452,63.93299528984034
348136,348136,29.544732623471717,78.55927739459227
86746,86746,34.18608380072339,50.73395573712797
965588,965588,54.640189661728314,54.62527991760662
580015,580015,102.32103516659616,72.01399258553033
341814,341814,132.93049102406474,45.50599322871639
711214,711214,165.1401091490317,53.00381798047915
2993,2993,145.88924462216048,11.948935283718662
754026,754026,132.74898229382038,51.29525031064753
535698,535698,94.50936531960888,70.50195642596421
97806,97806,41.77179732740036,66.68758094021173
699119,699119,142.2867617418193,21.89094144653071
536737,536737,56.694461975812146,82.4942781570103
648025,648025,41.03711540018653,26.294186953225626
888570,888570,95.76425417107492,16.156129255466162
583360,583360,43.999566736771754,31.809448688559407
785237,785237,79.10535815471452,70.70688935819632
67746,67746,73.59560589046238,54.93121134121522
954688,954688,84.07471765398927,37.46824240562725
923421,923421,22.324927245281398,42.437632215231325
918011,918011,158.11408990386857,24.88408208461548
168975,168975,76.7652926551514,93.104222413443
886640,886640,30.496299169525447,34.36792204698902
444429,444429,87.53451698860505,24.17039732000136
139063,139063,147.31442110963346,39.8326056549209
31774,31774,65.90216128520879,60.201421520008104
664473,664473,46.515317192101755,29.96772403604629
57538,57538,68.37465626967315,64.15861925336253
121280,121280,20.091819541103245,49.767229006750775
199872,199872,28.583941065776976,60.60023758580202
9156,9156,151.0071908580459,30.380308054650783
286827,286827,73.38736644456912,44.709894071324655
230810,230810,51.89136674416847,55.37061473677697
48350,48350,72.15504288174951,72.19777693957181
926327,926327,48.533119960227545,61.198250090121995
219389,219389,70.5765355596316,61.35423273067706
309362,309362,116.58768709314724,66.28093154768467
510229,510229,113.89988979002837,50.56664410304647
58005,58005,114.54949900184944,50.928117449362965
387684,387684,40.44085614039806,32.15138406516048
433008,433008,32.90350164370617,43.24191188103856
555580,555580,49.88713378029637,45.27356313204986
119748,119748,93.1804195716354,79.76937258832689
88911,88911,105.25623872794321,21.613131085993363
4493,4493,31.176739839771024,40.84379439884118
328216,328216,128.70793170897946,51.17794556644725
23544,23544,11.25682711854348,58.912106054996045
459802,459802,107.18714005809319,64.10463281543953
29962,29962,115.50439052854672,40.020197215449535
345622,345622,76.11309406428404,30.215014529794946
661725,661725,162.83068592128194,96.71509975369491
497038,497038,194.03485153429446,51.13087457157608
863754,863754,51.41898087604081,60.36589485240122
311950,311950,127.53277316577021,34.52130394236059
345751,345751,143.51091410894003,20.76055896550266
14666,14666,97.67443276039428,93.50793939832529
664458,664458,131.4132302774927,42.926208906502545
532219,532219,44.31987507880982,67.09349429484921
414545,414545,124.49437411684464,54.58122061316463
212445,212445,62.13029496138113,87.30515576421577
349551,349551,66.61917709595623,41.86652282303829
303588,303588,107.8976922485497,27.111871360908474
417186,417186,54.30016324483897,59.125638061772854
437328,437328,118.05255399232195,53.30721267635384
182230,182230,50.831264966386364,49.221214400246154
512249,512249,87.49841797338159,71.1824980464405
903653,903653,116.46045468324951,38.19172964443681
691662,691662,93.59265091963509,53.718753354424
200995,200995,4.8363010544819875,57.854753208872225
110269,110269,116.36373887638358,5.908911133881644
54834,54834,104.88125869153885,57.882956885069
677352,677352,93.49868221541142,34.014086579963305
624473,624473,189.17189120752624,19.615519300494157
312446,312446,70.8008125161002,31.375894520754663
803348,803348,12.017442886304176,67.88936625770174
912874,912874,38.30934549951027,47.69291858364147
978160,978160,84.24631008402572,61.13737226751861
192591,192591,96.63690457673289,70.93860744579239
328096,328096,170.72224849214305,23.741812764571236
306378,306378,134.36948534319126,80.16645118240234
24933,24933,121.65190839539824,30.677073318014024
259200,259200,171.53627283462362,79.33704872389777
968747,968747,42.67684922879381,82.73570686024587
799293,799293,55.43941656717245,45.35854002601629
84947,84947,115.0538227964291,96.1535820340465
430710,430710,98.83141864916294,57.832990755205394
298293,298293,44.52847020817201,50.29986104758644
226625,226625,71.67702284123334,72.37664636361612
624554,624554,99.44678071311571,40.5459594821976
744108,744108,57.2465177886135,40.68372532058353
841050,841050,79.16798794806763,71.48569094893652
294848,294848,110.44413010586935,31.967955533795088
801947,801947,28.27700376977071,54.58092081613872
919716,919716,91.03594259877859,60.092045321684616
690832,690832,158.1529138250511,62.53009742033173
748904,748904,152.3027234973252,38.38791656057408
194342,194342,86.44769126832922,48.76233838264763
560914,560914,167.55288517901792,25.83356957390951
637189,637189,109.93400444699749,8.572567592533787
586908,586908,121.42396619088392,75.85730904508613
118639,118639,94.50894473189514,20.414319632917568
882061,882061,57.09981289783244,54.46829311017585
613753,613753,102.3858146735439,36.236649676430595
164555,164555,109.7408240681947,20.676184963596157
918522,918522,32.39764066168545,47.7842202125133
996761,996761,100.14853736724919,36.99599576855779
532666,532666,141.30647006602683,48.40713614867258
405153,405153,117.30161672022415,87.72699266359534
973014,973014,21.983115126935388,53.3878309877579
575486,575486,94.4785625900643,46.24608994648139
295668,295668,87.30128770879563,46.88941972046008
595409,595409,39.48539712406497,60.18102007500387
544697,544697,173.34753630285644,63.97668046495118
725822,725822,105.61405278801071,50.50562851280384
681133,681133,185.25378201912378,91.54519981427576
960561,960561,70.51675616482652,82.80724445903786
871886,871886,123.31774076684749,67.59641934377875
843434,843434,41.52036341884352,37.07444962851557
923473,923473,36.21020245670464,57.320762453197574
101845,101845,81.36001107617058,52.8740865960086
509919,509919,1.423899822845076,50.27314127577333
691777,691777,92.53442414525314,22.449455750743013
744700,744700,135.96577435682173,24.02905160543562
