,Unnamed: 0,R,v
275708,275708,65.26270244780599,66.65654838909978
812861,812861,40.071079004064266,38.59041939718063
961116,961116,42.33872840871735,46.971819270084474
436374,436374,52.97321573131265,75.26793646301455
674570,674570,53.36940376879678,75.90068114702039
796651,796651,15.02229777859592,45.96734808574978
572608,572608,24.14585787835637,62.71371829717922
609913,609913,78.51852901974094,61.283196989277705
959038,959038,48.73451212938632,60.829290742238506
980236,980236,36.61334665928079,72.74897999314194
865166,865166,82.1877788283078,61.83826480293378
51809,51809,93.23770616573135,46.117061849047424
947668,947668,90.69025784461796,39.69005439557266
654871,654871,95.3543885419857,39.703130490474656
543248,543248,21.90795330011384,44.64312547098317
742206,742206,70.58862861752665,30.867744514153987
958102,958102,50.33564497359135,61.67208209085077
240675,240675,41.33970331988385,70.4957539448775
504973,504973,53.75767925386996,51.970520881261606
319639,319639,95.23462275862484,59.08695379809867
425306,425306,29.946655048343292,38.98680679798982
365550,365550,11.235081996898888,37.14421253531335
987893,987893,33.933266880798,56.727049801802174
285994,285994,91.54124489640431,43.12261678036445
166761,166761,48.42235673403256,53.733656144970944
578909,578909,38.7110779886661,40.62958594104767
383112,383112,59.24173386838628,40.60740329977822
904443,904443,18.841012196087497,42.85806073118477
711675,711675,78.04455996173755,38.449069142118894
610298,610298,43.67280322998255,63.68353410978445
674668,674668,78.53916346885926,39.2683658649061
884873,884873,33.390172198270065,49.73813743823236
285487,285487,64.14252688036197,75.23345449183368
276321,276321,79.66571503752535,33.85316256569302
968789,968789,44.27878275739146,43.64815263197213
669008,669008,24.020695385438014,44.28656333717096
350563,350563,64.88807911302081,31.958809095601808
781905,781905,70.34956040458721,32.65906805005818
485262,485262,70.2487536197143,80.85403615420161
926774,926774,56.922339996775406,49.82869173059324
971975,971975,28.509171875485734,52.119535545583325
853659,853659,53.480891952299224,31.971948274782378
21321,21321,62.9583273831696,38.335090359810145
26003,26003,56.631858913875504,77.59588264198305
107553,107553,39.718513448478106,33.16773807791465
685462,685462,81.90335171344174,60.712005294767074
835069,835069,72.76798934915523,72.85586176561719
626250,626250,8.264482558694802,78.14575418687892
914211,914211,53.19746205628302,69.02798057551226
566103,566103,66.9778624812713,24.161370665088103
192786,192786,72.00050559546769,73.28827320305754
868276,868276,94.01145464959076,50.495923515434505
258867,258867,98.73226469605959,61.39946978605074
610312,610312,84.30776991440071,48.529781027898
340379,340379,78.38805317986696,67.37971537170338
308764,308764,68.51942820508135,58.3948673024836
581489,581489,68.2085740599118,28.445392931724662
192969,192969,33.75535738113286,48.38207686377765
455005,455005,95.39709147356814,58.885586591210526
330718,330718,67.45810863532765,49.06842883788281
254671,254671,61.15356643734098,58.45500614391078
865989,865989,64.8522541411242,36.75654112663939
625252,625252,75.24284648770067,71.39187423749401
666398,666398,55.746460092871935,43.17820866255571
767118,767118,91.56968102033207,55.26522113093944
555735,555735,46.637085471410124,53.6863148944256
488308,488308,47.9472466565471,39.714278934370334
505594,505594,38.87105263376106,35.40081781319264
659602,659602,8.222288667636741,66.28694106375012
563764,563764,89.97278708621573,32.12907626518317
553497,553497,60.04831924664494,42.315370385045455
335317,335317,17.45761990649551,30.35787438228521
758066,758066,85.5212197279673,36.84070586926383
48724,48724,58.15033491075585,41.13493271402932
34526,34526,90.22078291608408,40.6807170932142
371887,371887,88.94135787018378,13.998578334402154
801665,801665,48.64748830063685,74.78186554820618
807884,807884,40.24586727485206,50.243841103621605
7508,7508,62.131370928014476,73.25615133964297
