,R,v,kind
2869,12.279930987666939,52.76075792926576,1
173,17.233882608344544,47.73202542717762,1
1618,15.307393687566352,43.3454229610904,1
4986,18.758622548829784,34.102965602976646,1
1337,12.787530756622006,83.03581347817371,1
4023,13.928340471519231,57.30799739231507,1
1201,17.945724153671968,47.209917241582644,1
5453,18.82378546724601,73.9365652071813,0
1371,14.97235292649358,64.22127689106694,1
900,4.832445217262201,48.07544819891301,1
6043,6.1354018350695725,86.59904612500361,0
1303,12.067577983226812,58.673554100649795,1
367,10.5808319345143,48.81444960221969,1
47,10.801734259338579,51.580297543790714,1
4480,8.013803568153605,56.698958016483914,1
5443,17.285527378976504,65.4898398690719,0
2184,15.224150679661262,33.05840728047989,1
13,5.7505605920939775,47.508563461753475,1
296,5.657363462015097,52.11147157104887,1
2341,7.540351787568553,81.9229241713653,1
4256,8.700899026896849,34.319810765606796,1
4520,6.641359170438182,49.25668421216655,1
8781,3.1896143160356085,95.16980559184164,0
3260,16.9190817302372,54.89184960726815,1
2392,8.857591002206592,58.09376073034966,1
4637,16.133196162248886,48.614320368945684,1
329,15.799211379561124,44.1159238565022,1
4031,4.207819682029648,73.62346139575419,1
1949,14.868494062730882,76.53767789104444,1
1501,17.877011987458477,57.52474476038808,1
7723,19.495761088422295,67.16249495246075,0
8782,3.1896143160356085,95.16980559184164,0
229,11.286390061744434,47.60282444798234,1
9220,19.805996204232763,55.62989221172983,0
3256,16.246287108084555,43.67268340987958,1
102,4.24242395057491,48.7463876261681,1
407,19.787969338514227,50.59784660461686,1
3580,17.13142456615984,45.51179780045403,1
3805,8.273646445250591,54.5667604923332,1
9213,17.45688742429899,54.9903125206645,0
5362,2.9907486411803923,83.09764629824156,0
8250,8.63770618651647,48.2993407173114,0
1007,15.327048690239033,45.47049977682581,1
4609,7.145920637637568,53.12835683510707,1
2598,16.902953966566383,46.7943767273982,1
3358,13.916968267843435,46.7869360749216,1
651,5.910655872259159,41.76521512600893,1
418,15.078366200958495,44.00828050217335,1
1946,18.182339613600536,50.671606964098885,1
7721,17.661921453882886,39.56844354958325,0
3346,6.705097035704425,46.42878863195887,1
4948,17.97210888418439,40.17681359357333,1
1108,13.832431353131488,50.713667434020145,1
408,19.787969338514227,50.59784660461686,1
194,15.154989140737092,51.72897617566608,1
3131,19.729627961738213,61.35811996787247,1
1092,13.673633819518356,61.93869506161148,1
3969,2.770130504491512,50.09751887541474,1
1547,18.224159879442606,38.60508695068079,1
4730,17.63043420891614,37.64028924066585,1
4481,8.013803568153605,56.698958016483914,1
1206,18.693902934041322,54.86711759158712,1
3196,18.30739004912476,57.6649546478798,1
1589,17.432020311780786,57.10406019582981,1
1859,19.854736376562034,45.92590409666913,1
3080,4.370124201120255,43.98296254517824,1
2333,8.911472019283147,59.50768222460127,1
1224,19.479744120573315,49.37049046293389,1
2086,14.749649282180162,45.57950093249968,1
697,12.621501697088654,61.58351485677932,1
677,6.1398924410600735,40.58705882020861,1
9423,17.096893374715627,33.37377613816953,0
1815,18.686401649923198,74.56542255469759,1
2343,1.6371160284716169,41.19223086948644,1
9716,7.401966965522451,40.64769119220045,0
4704,15.787500382231949,45.910715530231364,1
2186,11.84865967900823,60.97611499927218,1
1293,9.96876190062195,39.016946732733324,1
4705,5.19705340697262,41.287695281039476,1
1816,16.733164442546936,35.17797629996381,1
404,10.17844814489282,35.121918728690574,1
6964,10.8735781279625,46.95815438949486,0
4575,19.654555442993775,36.810601780087474,1
4193,10.016240058662348,49.26523345007725,1
3133,17.34412747006909,70.00647294134987,1
3766,13.327519009891072,69.30639715759479,1
2511,15.072742743398702,55.622497100362104,1
4648,5.517275222318773,45.63501251750304,1
1271,9.966297137918488,52.479996081691425,1
3858,19.01755151807821,42.49711422129313,1
9888,13.119453802402873,63.45430114797734,0
3291,19.899749221835712,47.933612948247074,1
178,19.224845245606943,74.97612735877095,1
4323,13.396222538048502,44.99147348951145,1
1134,14.830444300111845,39.03296387412358,1
3557,16.87062511613177,55.087516627890786,1
8783,3.1896143160356085,95.16980559184164,0
8052,15.716892798293273,26.57502993438704,0
4962,15.21319500279677,57.96086828835385,1
2552,19.543809868545576,40.471737849264045,1
3844,13.462891359481382,43.01844045830494,1
57,11.615940632739928,54.43115838217922,1
894,8.447197199758714,40.74278431738736,1
7439,9.66859475941328,32.22218821938161,0
3103,6.833516745303558,45.8481242410188,1
5988,18.109272056531093,48.83008676442504,0
5476,3.730527233612662,84.85194306535922,0
1338,16.274971074009656,45.515954278885204,1
2557,14.228187502879695,65.48670419033259,1
3906,16.156711587992934,40.596667409714094,1
4153,11.896914136447576,48.2445160902396,1
3417,9.889444880610581,47.5214958116928,1
361,19.626790300310763,61.91516183229711,1
2354,3.9704767940293433,35.95852791481071,1
977,7.558793001776793,44.246092462710465,1
1151,17.343259625473245,68.77839909206145,1
360,14.491911771629846,34.189075671887586,1
9598,11.354702625501485,77.92274422076021,0
7237,2.8199683244127702,94.57848244441854,0
2523,18.739863891559164,50.92182646112004,1
8427,8.811012058303973,72.91690895283905,0
950,18.041416284280228,39.53469372365824,1
3968,16.212047772013527,46.61372671480553,1
4420,12.770961628359409,65.5512385323523,1
1679,18.00262165336009,54.29567431857234,1
2987,18.56785190472441,49.94517707148946,1
3365,8.337720917943571,63.78853896442276,1
193,15.463685974573018,47.34624570266305,1
8298,13.083892133605016,58.76264475898074,0
978,15.794810609189046,62.21427455842428,1
3102,15.924635143425164,61.61842028116408,1
1502,17.670100663272798,59.91985656788489,1
3290,14.317865180982329,43.07386272683911,1
906,10.116420064784498,61.033929562339814,1
1232,7.7906225220880465,50.2376507336715,1
6089,10.804598618706242,8.013055013716636,0
1888,6.9365865667588755,53.402914456974194,1
4207,19.074635117649464,56.63208801800562,1
1225,19.479744120573315,49.37049046293389,1
2548,11.370561447387793,48.55367935378954,1
4636,16.133196162248886,48.614320368945684,1
2705,8.265909596899085,47.751422074543235,1
4984,18.12602062550146,29.38056425355287,1
4696,10.341495092394506,48.7774918252187,1
4150,15.091777087239551,54.6948413841453,1
4987,9.288333645291287,64.19287807693057,1
3946,16.93748049835197,59.490138002381364,1
106,19.06701571040355,70.99245061050459,1
212,14.21215289539566,71.45307572878485,1
3627,11.887853754413873,59.47118346443756,1
2585,15.374600383557874,44.68291817612168,1
4028,18.973376482526355,68.54108961546152,1
834,15.900787221659948,53.52130361142176,1
406,19.02260230079704,45.45527989055192,1
9462,6.097713593280789,36.255906618089924,0
2087,7.487185095149193,21.653280090290554,1
185,13.973235176785085,44.81399073317329,1
4960,18.50582006659696,41.746130111313526,1
1116,12.755365528560318,51.438307280283915,1
3149,18.97808634952089,19.192659794669552,1
3136,17.800900912508112,70.04175044201898,1
1315,14.046422050283114,47.49338406962627,1
1588,17.281182107862907,40.616126945315756,1
3657,6.7919879074012135,40.93951595314447,1
215,6.457814099787281,46.41369447174139,1
2238,12.168735861432914,55.07786055520815,1
4802,16.464800980290462,34.38245769628294,1
8457,5.193124020504371,41.93565764190278,0
2340,10.090169604016218,71.88068070224257,1
104,6.457569826340044,58.279842349054114,1
1170,14.249046163563984,42.513879456256795,1
603,9.993454445390212,46.846064009400166,1
9984,14.288558013968082,62.81311747622516,0
2107,10.974631211485882,55.84876694226557,1
3768,11.685081052891364,51.47465892217326,1
1378,5.474072252947585,74.73277372422605,1
2547,11.370561447387793,48.55367935378954,1
492,14.830418316949668,51.56173691855303,1
909,17.076002408342365,36.47461343271438,1
5880,11.436530282982881,37.478037453699216,0
110,31.88724345502486,55.026620605264505,1
4613,37.79347132507568,58.129475576988966,1
4826,22.1604947137793,44.78218334618014,1
9011,24.04173750237717,50.86648891403095,0
3058,38.09005010037004,63.28057325827676,1
4959,35.36675901307069,53.8609628678506,1
4838,23.75616132844752,67.2748303656127,1
500,25.781563791527066,42.85866071418466,1
3921,26.42339926098588,73.80938426064668,1
4232,24.78913954188313,35.900681650929435,1
2174,34.146649885589646,41.73324995779728,1
2151,22.05661683464845,58.294697727032776,1
2776,34.818430215370874,63.94617985566245,1
454,38.8611623611635,34.58240148494591,1
146,30.643854013270165,35.75935521302988,1
4262,20.02542209343728,35.07877561237484,1
3927,39.32271320122447,54.549104480986,1
8185,25.547269163868734,84.89766974106007,0
1821,36.9934300346395,55.928678484927616,1
617,28.778512480568818,55.92459814474375,1
2878,31.155173446585263,46.15304739286152,1
8205,30.5262970335785,62.39021108565893,0
144,34.20649846868268,39.224633842277925,1
6321,36.584121472049326,80.57522300817675,0
