,v,R
5453,73.9365652071813,18.82378546724601
6043,86.59904612500361,6.1354018350695725
5443,65.4898398690719,17.285527378976504
8781,95.16980559184164,3.1896143160356085
7723,67.16249495246075,19.495761088422295
8782,95.16980559184164,3.1896143160356085
9220,55.62989221172983,19.805996204232766
9213,54.9903125206645,17.45688742429899
5362,83.09764629824156,2.9907486411803923
8250,48.2993407173114,8.63770618651647
7721,39.56844354958325,17.661921453882886
9423,33.37377613816953,17.096893374715627
9716,40.64769119220045,7.401966965522451
6964,46.95815438949486,10.873578127962501
9888,63.45430114797734,13.119453802402873
8783,95.16980559184164,3.1896143160356085
8052,26.57502993438704,15.716892798293273
7439,32.22218821938161,9.66859475941328
5988,48.83008676442504,18.109272056531093
5476,84.85194306535922,3.730527233612662
9598,77.92274422076021,11.354702625501485
7237,94.57848244441854,2.8199683244127702
8427,72.91690895283905,8.811012058303973
8298,58.76264475898074,13.083892133605016
6089,8.013055013716636,10.804598618706242
9462,36.255906618089924,6.097713593280789
8457,41.93565764190278,5.193124020504371
9984,62.81311747622516,14.288558013968082
5880,37.478037453699216,11.436530282982881
9011,50.86648891403095,24.04173750237717
8185,84.89766974106007,25.547269163868734
8205,62.39021108565893,30.5262970335785
6321,80.57522300817675,36.584121472049326
6182,9.830869376025008,31.392951640754447
7981,35.39478820894273,36.982209566413005
6676,51.02823284159997,27.121458015731225
6644,33.18827805770029,28.902068941292058
9813,26.073400806665806,39.799250527034346
5981,77.75685438790427,30.167983515815514
5771,11.972505500774805,24.388836396291534
5553,5.005476608188717,37.50410190015288
9766,21.00115535713784,37.55031173191347
6464,13.488442125752535,34.55909587411645
8370,51.83252161975586,33.28227674618209
6174,72.07159752183998,37.61967405643388
8948,67.5972834591079,28.5357904031737
8702,33.61688354500833,35.04381006216048
9080,89.39983324451799,35.842954784385384
6756,17.127776286081563,31.408972416635322
8597,19.45871888692041,37.147863785427255
5219,53.64554789975408,30.819209315845985
9883,36.9814136602536,38.20229795272123
6610,8.051418717309161,31.965481736576592
5391,9.763437847864989,32.475129886620806
6468,29.802055847590946,34.635837377006524
5334,74.40845240114878,37.72873689234532
5468,33.1875997303404,28.684495016970114
8841,44.841317953138436,29.198691519147488
5123,44.13801562441328,35.718134958882544
7919,49.53747427698092,39.332358141167155
6250,80.21098250410212,34.6960319141145
6191,16.74882542809546,27.68279722598691
8956,24.9522719499518,31.078852119291806
5288,23.79007065495243,35.486965905423936
9785,65.72655724121896,35.11145324452424
9415,64.56753962789014,35.561624052711764
9811,52.19577379066856,27.753137431281875
9985,56.734073690244074,28.19210885940876
6201,98.26543708464706,34.722229926946895
5426,83.24753920398636,37.019593749897496
5336,49.47809922821026,30.013491554472278
5059,87.92697960711351,21.352915923443625
9404,93.05158481632908,22.699026644697533
9826,0.5699618318586746,33.72467571831405
8373,40.12991720191922,36.10453825260737
5061,95.87780843461123,27.129903549981595
5433,58.77423722221649,20.12246038401921
6251,80.21098250410212,34.6960319141145
6090,47.15224766252013,28.81290642489815
6199,88.88403353963267,30.794955528929467
6294,66.1583612220551,33.196823855625766
9812,45.62639564676272,29.154446512664023
5496,94.4541071914072,28.38287851151042
8846,33.21071394884778,34.3262095559566
8730,10.69029316783874,33.59811751082571
8648,83.61989857826258,27.798979704923592
6135,4.169104632586798,24.127391942388037
9535,93.51253727747557,34.278481302939284
9286,14.681173369444227,37.015904621688506
8963,2.0064846648430805,38.80592031772045
8456,77.36637310023724,33.542591117961734
6071,81.53854909291431,36.35718005728602
9279,67.13244964733967,22.93424111136693
9396,0.3721102408343959,28.895752472347745
7921,18.167340078048888,25.56249457162273
5495,89.24076874063036,34.442381357762535
5435,98.98706047995009,22.725916826102967
6238,44.498852155537854,32.649374106160955
9414,77.5171697937192,24.85367658670857
8892,98.55907211415008,37.408754228908045
7438,8.430401298655543,33.55136638646964
6094,85.81993221339316,34.758802945693645
8252,18.477051099505942,36.85404185939939
5464,99.82950390706706,38.837281379397716
8442,28.52797848526977,36.21336424191805
5473,43.16738682360875,26.151834694036108
8454,93.17157009697563,36.34352616157327
8053,25.897852500659184,25.49720722294717
6489,41.30561836255513,31.072441682770826
6158,69.37360485204324,23.596999320417968
5474,72.31752091223566,31.666975680446228
6675,77.12173861427502,24.2990673714128
8683,78.41272919879714,23.37073167081889
6302,0.7768982436953173,26.38820733761523
6916,0.5725772734392276,36.876606993880735
7750,58.270194931295435,37.4378903365439
6087,78.52972134754181,39.02574150055744
9533,99.81568459335102,38.40154242257587
5286,61.79131124155809,26.13017170755427
9012,79.26518656837959,32.905836221594285
6463,30.018385304265408,29.168689189114342
9786,17.68290447971008,39.14377737685306
9385,74.05385245635816,38.82745820826832
9792,57.00361035416947,34.805654504139106
8207,79.47755673246306,52.00526516767634
6854,24.457129897589496,51.746506101242296
8197,56.82575152934357,54.20910606707971
