,v,R
2869,52.76075792926576,12.279930987666939
173,47.73202542717762,17.233882608344544
1618,43.3454229610904,15.307393687566352
4986,34.102965602976646,18.758622548829784
1337,83.03581347817371,12.787530756622006
4023,57.30799739231507,13.928340471519231
1201,47.209917241582644,17.945724153671968
1371,64.22127689106694,14.97235292649358
900,48.07544819891301,4.832445217262201
1303,58.673554100649795,12.067577983226812
367,48.81444960221969,10.5808319345143
47,51.58029754379072,10.801734259338579
4480,56.698958016483914,8.013803568153605
2184,33.05840728047989,15.224150679661262
13,47.508563461753475,5.7505605920939775
296,52.11147157104887,5.657363462015097
2341,81.9229241713653,7.540351787568553
4256,34.319810765606796,8.700899026896849
4520,49.25668421216655,6.641359170438182
3260,54.89184960726815,16.9190817302372
2392,58.09376073034966,8.857591002206592
4637,48.614320368945684,16.133196162248886
329,44.1159238565022,15.799211379561124
4031,73.62346139575419,4.207819682029648
1949,76.53767789104444,14.868494062730882
1501,57.52474476038808,17.877011987458477
229,47.60282444798234,11.286390061744434
3256,43.67268340987958,16.246287108084555
102,48.7463876261681,4.24242395057491
407,50.59784660461686,19.787969338514227
3580,45.51179780045403,17.13142456615984
3805,54.5667604923332,8.273646445250591
1007,45.47049977682581,15.327048690239033
4609,53.12835683510707,7.145920637637568
2598,46.7943767273982,16.902953966566383
3358,46.7869360749216,13.916968267843435
651,41.76521512600893,5.910655872259159
418,44.00828050217335,15.078366200958495
1946,50.67160696409889,18.182339613600536
3346,46.42878863195887,6.705097035704425
4948,40.17681359357333,17.97210888418439
1108,50.713667434020145,13.832431353131488
408,50.59784660461686,19.787969338514227
194,51.72897617566608,15.154989140737092
3131,61.35811996787247,19.729627961738213
1092,61.93869506161148,13.673633819518356
3969,50.09751887541474,2.7701305044915117
1547,38.60508695068079,18.22415987944261
4730,37.64028924066585,17.63043420891614
4481,56.698958016483914,8.013803568153605
1206,54.86711759158712,18.693902934041322
3196,57.6649546478798,18.30739004912476
1589,57.10406019582981,17.432020311780786
1859,45.92590409666913,19.854736376562034
3080,43.98296254517824,4.370124201120255
2333,59.50768222460127,8.911472019283147
1224,49.370490462933894,19.479744120573315
2086,45.57950093249968,14.749649282180162
697,61.58351485677932,12.621501697088654
677,40.58705882020861,6.1398924410600735
1815,74.56542255469759,18.686401649923198
2343,41.19223086948644,1.6371160284716169
4704,45.910715530231364,15.787500382231949
2186,60.976114999272184,11.84865967900823
1293,39.016946732733324,9.96876190062195
4705,41.287695281039476,5.1970534069726195
1816,35.17797629996381,16.733164442546936
404,35.121918728690574,10.17844814489282
4575,36.810601780087474,19.654555442993775
4193,49.26523345007725,10.016240058662348
3133,70.00647294134987,17.34412747006909
3766,69.30639715759479,13.327519009891072
2511,55.622497100362104,15.072742743398702
4648,45.63501251750304,5.517275222318773
1271,52.479996081691425,9.966297137918488
3858,42.49711422129313,19.01755151807821
3291,47.933612948247074,19.899749221835712
178,74.97612735877095,19.224845245606943
4323,44.99147348951145,13.396222538048502
1134,39.03296387412358,14.830444300111845
3557,55.087516627890786,16.87062511613177
4962,57.96086828835385,15.21319500279677
2552,40.471737849264045,19.543809868545576
3844,43.01844045830494,13.462891359481382
57,54.43115838217922,11.615940632739928
894,40.74278431738736,8.447197199758714
3103,45.8481242410188,6.833516745303558
1338,45.515954278885204,16.274971074009656
2557,65.48670419033259,14.228187502879695
3906,40.596667409714094,16.156711587992934
4153,48.2445160902396,11.896914136447576
3417,47.5214958116928,9.889444880610581
361,61.91516183229711,19.626790300310766
2354,35.95852791481071,3.9704767940293433
977,44.246092462710465,7.558793001776793
1151,68.77839909206145,17.343259625473245
360,34.189075671887586,14.491911771629846
2523,50.92182646112004,18.739863891559164
950,39.53469372365824,18.041416284280228
3968,46.61372671480553,16.212047772013527
4420,65.5512385323523,12.770961628359409
1679,54.29567431857234,18.00262165336009
2987,49.94517707148946,18.56785190472441
3365,63.78853896442276,8.337720917943571
193,47.34624570266305,15.463685974573018
978,62.21427455842428,15.794810609189046
3102,61.61842028116408,15.924635143425164
1502,59.91985656788489,17.670100663272798
3290,43.07386272683911,14.317865180982327
906,61.033929562339814,10.116420064784498
1232,50.2376507336715,7.7906225220880465
1888,53.402914456974194,6.936586566758876
4207,56.63208801800562,19.074635117649464
1225,49.370490462933894,19.479744120573315
2548,48.55367935378954,11.370561447387793
4636,48.614320368945684,16.133196162248886
2705,47.751422074543235,8.265909596899085
4984,29.38056425355287,18.12602062550146
4696,48.7774918252187,10.341495092394506
4150,54.6948413841453,15.091777087239551
4987,64.19287807693057,9.288333645291287
3946,59.490138002381364,16.93748049835197
106,70.99245061050459,19.06701571040355
212,71.45307572878485,14.21215289539566
3627,59.47118346443756,11.887853754413873
2585,44.68291817612168,15.374600383557874
4028,68.54108961546152,18.973376482526355
834,53.52130361142176,15.900787221659947
406,45.45527989055192,19.02260230079704
2087,21.653280090290554,7.487185095149193
185,44.813990733173284,13.973235176785085
4960,41.746130111313526,18.50582006659696
1116,51.438307280283915,12.755365528560318
3149,19.192659794669552,18.97808634952089
3136,70.04175044201898,17.800900912508112
1315,47.49338406962627,14.046422050283114
1588,40.616126945315756,17.281182107862907
3657,40.93951595314447,6.7919879074012135
215,46.41369447174139,6.4578140997872815
2238,55.07786055520815,12.168735861432914
4802,34.38245769628294,16.464800980290462
2340,71.88068070224257,10.090169604016218
104,58.27984234905411,6.457569826340044
1170,42.513879456256795,14.249046163563984
603,46.846064009400166,9.993454445390212
2107,55.84876694226557,10.974631211485882
3768,51.47465892217326,11.685081052891364
1378,74.73277372422605,5.474072252947584
2547,48.55367935378954,11.370561447387793
492,51.56173691855303,14.830418316949668
909,36.47461343271438,17.076002408342365
