,R,v,kind
25469,0.2423446134708129,61.29770473974955,mem
23684,0.6674691866314042,43.298340984970466,mem
23894,0.8628168261273643,37.85743492846961,mem
13172,1.0016556487010426,47.60046040706714,mem
18605,1.2453594197097075,47.424647049469,mem
10306,1.5585651484617298,57.97689607229165,mem
8934,1.6089534073499507,19.610324284170552,mem
2343,1.6371160284716169,41.19223086948644,mem
13091,1.6803502093419027,52.81836554984784,mem
13090,1.6803502093419027,52.81836554984784,mem
19795,1.7314602990934969,51.01655817613994,mem
21461,1.8299170879843525,60.23710489876374,mem
47492,2.3362133530503755,97.76042610246168,fg
20856,2.489826025674418,64.53602081009251,mem
22404,2.5658703060990007,68.91964805060407,mem
12823,2.6270245384403026,38.366729322196704,mem
20616,2.74097064534881,50.03930214984168,mem
202,2.763743616144417,52.66754973854564,mem
3969,2.770130504491512,50.09751887541474,mem
28038,2.8199683244127702,94.57848244441854,fg
26163,2.9907486411803923,83.09764629824156,fg
10014,3.0274010428772367,43.06421817779362,mem
14463,3.165960012293493,34.85823432898984,mem
29582,3.1896143160356085,95.16980559184164,fg
29583,3.1896143160356085,95.16980559184164,fg
2384,3.1909902704917212,61.96175821508536,mem
23847,3.316447846107387,48.238273187817114,mem
1009,3.479955162163833,69.94162506468535,mem
25638,3.482246850791732,26.689060673082,mem
48172,3.4966461888295086,27.738443032736694,fg
23069,3.5584030258278787,52.10288269954587,mem
22731,3.6020748923760166,45.94498291167729,mem
24126,3.620581422817665,58.42948530666053,mem
26277,3.730527233612662,84.85194306535922,fg
5140,3.8636925962911586,55.045627796254436,mem
35827,3.907707935816029,98.11956361371521,fg
2354,3.9704767940293433,35.95852791481071,mem
11613,3.988875646570573,54.23054989104546,mem
15477,4.082268558920932,49.909382165239975,mem
15478,4.082268558920932,49.909382165239975,mem
40236,4.110214160465768,56.631911685924464,fg
12818,4.116905292372231,52.27606695131614,mem
18508,4.1231133470822945,42.886939519935616,mem
10107,4.187828933648697,42.22343107853617,mem
4032,4.207819682029648,73.62346139575419,mem
4031,4.207819682029648,73.62346139575419,mem
7132,4.212483323032013,37.338558385908506,mem
102,4.24242395057491,48.7463876261681,mem
15639,4.2444626599326805,40.183053553033744,mem
20072,4.312136166633223,52.40063146227732,mem
42597,4.344674349498773,76.42382117556525,fg
4460,4.4644711958241565,45.362006149047716,mem
8194,4.504893152972187,46.66352696749257,mem
9296,4.5602261297357245,56.91592150465307,mem
1275,4.585410826405393,40.14974709335275,mem
23113,4.590095150740866,60.513925707400595,mem
22150,4.721991826325507,45.67554903102437,mem
11649,4.7266847070769655,60.65430112763605,mem
9867,4.8162280086733835,52.33053530038718,mem
900,4.832445217262201,48.07544819891301,mem
5949,4.941419925778746,29.446135226867728,mem
13913,4.947727690599692,30.279995453947937,mem
42731,5.077153936178156,28.127944566312014,fg
35942,5.095316909576127,50.497995118223145,fg
8923,5.107045027703324,60.0862483523791,mem
32724,5.170115522439815,90.78033638326521,fg
7298,5.176388801489324,36.70123157749064,mem
7297,5.176388801489324,36.70123157749064,mem
15399,5.181198319381188,58.825551504236365,mem
4705,5.19705340697262,41.287695281039476,mem
34536,5.301032046264666,93.75195754089904,fg
24940,5.33853572992889,64.48725441801857,mem
18953,5.363513168335764,44.817594538565686,mem
22959,5.42243721368536,64.48776996688649,mem
23070,5.423503113972495,53.41377353788553,mem
1378,5.474072252947584,74.73277372422605,mem
37221,5.5128401959841975,43.38246131884117,fg
14828,5.638995711733372,53.6230122168073,mem
296,5.657363462015097,52.11147157104887,mem
7172,5.733481991659282,61.24070439250389,mem
36591,5.786805574351924,16.74901456641709,fg
10985,5.825766706424482,36.0658549410149,mem
22430,5.892889887279693,59.27007434642528,mem
651,5.910655872259159,41.76521512600893,mem
31214,6.005365256201472,19.78856863391548,fg
18790,6.0272666454718,45.136880820979435,mem
7073,6.042990609017353,49.705322746275556,mem
21890,6.05448355415092,58.08963465244816,mem
6916,6.090165508590957,47.38101829282724,mem
19183,6.094004777518465,39.71575063252937,mem
30263,6.097713593280789,36.255906618089924,fg
30264,6.097713593280789,36.255906618089924,fg
16338,6.114949233699505,57.43565507494724,mem
14862,6.115690487841661,65.99857944663512,mem
9297,6.126410191977088,71.75437724550461,mem
11696,6.1347076127392475,51.62133006337668,mem
26844,6.1354018350695725,86.59904612500361,fg
20059,6.172000944505597,52.746768360879,mem
21398,6.192313396398598,51.219860999431496,mem
21399,6.192313396398598,51.219860999431496,mem
21850,6.239992669856484,59.16435791659865,mem
42225,6.2502220159714605,26.194715327471624,fg
8763,6.254825127542772,50.6192671250959,mem
23379,6.2808361526173035,52.383404735161506,mem
16186,6.323248287450316,45.092060280066434,mem
15968,6.345755669731277,32.85372237005612,mem
44357,6.35215669768683,44.593048648619394,fg
23229,6.374402398516537,36.0771919439359,mem
24547,6.389615467326577,51.25422310759246,mem
11860,6.39078514793322,47.37472763679365,mem
5258,6.393379428543671,24.406402526926584,mem
6446,6.4074644652657815,61.62876402873784,mem
22269,6.421042928385559,39.04936988083487,mem
104,6.457569826340044,58.27984234905411,mem
215,6.4578140997872815,46.41369447174139,mem
13828,6.471427001371138,60.161299959393894,mem
16194,6.483065709597803,40.83675174579703,mem
14636,6.499074670863564,41.16472039582954,mem
34161,6.508898201647593,74.71530812020929,fg
14718,6.6072319270833,45.9767705571776,mem
10895,6.6091793104027765,62.61035322885731,mem
3449,6.6376999485424415,37.36549208454751,mem
4520,6.641359170438182,49.25668421216655,mem
6663,6.650538461666202,56.87097791293343,mem
20555,6.7042634794668095,82.53061843305636,mem
3346,6.705097035704425,46.42878863195887,mem
42932,6.720472746151426,24.340712792984036,fg
6719,6.724663174537286,52.455456942674466,mem
4857,6.738846815251881,52.29362912614446,mem
14763,6.749049165761896,51.215033166961526,mem
22898,6.749762992006524,59.86643705372254,mem
11480,6.754185053760565,60.22821490216585,mem
20773,6.779212153208121,41.03640383548374,mem
13703,6.789555718786224,40.6189936501629,mem
3657,6.7919879074012135,40.93951595314447,mem
21891,6.818916393162854,48.83000216742438,mem
42143,6.819837150108382,85.83095369999648,fg
3103,6.833516745303558,45.8481242410188,mem
14545,6.844269796998758,65.48308673361579,mem
14546,6.844269796998758,65.48308673361579,mem
13726,6.853656973670333,51.05608895060402,mem
9202,6.862745339146122,31.22855916090064,mem
18206,6.869983824006888,57.355755208669436,mem
1548,6.900020864210646,48.621120009184075,mem
18855,6.917420402732737,46.014344615740725,mem
3299,6.919065770351175,40.563268775317404,mem
23815,6.931589992383097,59.55590205290085,mem
1888,6.9365865667588755,53.402914456974194,mem
103,6.940429935908719,35.15393140944744,mem
25399,6.9665398172845645,37.76195548501559,mem
50769,6.981106195849321,81.81675917328326,fg
20006,6.991581130554942,56.941875298710784,mem
8700,6.9944956740491175,66.3213957186665,mem
16695,7.0002242146638025,61.00067119700314,mem
23473,7.002522656172503,32.655636025639446,mem
39191,7.016284609801973,84.51194832385694,fg
19708,7.044154041622704,43.18935809033843,mem
45368,7.078538620559485,82.69686624864329,fg
45369,7.078538620559485,82.69686624864329,fg
5779,7.0916817627803175,42.02192554888693,mem
23437,7.098806392820762,38.15246399785829,mem
23789,7.141002743729388,58.32483240374122,mem
4609,7.145920637637568,53.12835683510707,mem
14952,7.148907718924942,57.61612910225408,mem
22798,7.15561107029005,59.425407185329675,mem
15043,7.156393030660702,28.860860282907467,mem
11438,7.165048907918148,49.262286089952575,mem
5060,7.176710121711245,43.71410370328631,mem
6068,7.184261564230669,70.83890653809614,mem
15970,7.221175757452782,40.537053492351546,mem
16933,7.317113927241608,48.39808153767272,mem
18740,7.3267374713640345,38.74609402492015,mem
12766,7.326890464424558,64.39411372072597,mem
6820,7.340145566470483,40.45516940608911,mem
9548,7.354264488555508,65.88584333929226,mem
17318,7.364613539135945,41.556988210879176,mem
42962,7.3663466042627075,80.91687776859118,fg
30517,7.401966965522451,40.64769119220045,fg
21805,7.427867008048778,30.11089479773117,mem
6372,7.435354533375032,57.32319428495654,mem
35373,7.440927552514209,24.24952478566495,fg
31015,7.473768032740985,91.5865367849547,fg
2087,7.487185095149193,21.653280090290554,mem
18816,7.495629481822661,52.98451127149541,mem
23383,7.512572234013206,69.05323626742971,mem
18742,7.527588584137362,44.70918907960476,mem
2341,7.540351787568553,81.9229241713653,mem
14820,7.5432338307245885,53.81528792661382,mem
977,7.558793001776793,44.246092462710465,mem
15689,7.573654024586357,52.34920907223508,mem
6136,7.667876138100468,56.91023613990385,mem
6137,7.667876138100468,56.91023613990385,mem
22858,7.704118459481603,52.14177522706256,mem
41469,7.739612865930737,46.03852366805179,fg
19119,7.762674896963446,65.75610749787795,mem
1232,7.7906225220880465,50.2376507336715,mem
6844,7.8552033324269965,47.79877872076679,mem
11382,7.8656475612334225,65.23603674665918,mem
10152,7.86684016664536,63.69432793535822,mem
24346,7.8900738553545295,60.753245482610616,mem
7751,7.892072278506911,72.02000393422111,mem
7423,7.938668734158504,43.92271975268521,mem
18789,7.993779508049188,59.40147553943866,mem
45015,8.002533990060314,83.05953025105973,fg
4481,8.013803568153605,56.698958016483914,mem
4480,8.013803568153605,56.698958016483914,mem
40992,8.021856669359522,95.9502131521978,fg
12997,8.027344806236371,40.988716881880386,mem
12996,8.027344806236371,40.988716881880386,mem
25772,8.031669814841273,39.84156734583628,mem
11379,8.039150375922995,47.27116269876117,mem
38089,8.053491935184198,93.10084648272766,fg
23539,8.066658261966325,56.50610137315629,mem
20246,8.083833614434987,44.53247444422996,mem
23110,8.136316211957187,58.633515727758464,mem
51129,8.1630025557108,78.86807383792696,fg
11124,8.168303881190717,47.291309396878546,mem
36265,8.197468070187906,7.227206750708772,fg
20648,8.216944676354913,43.99445527180674,mem
25050,8.249199013109987,39.29473992374824,mem
19079,8.250041334376988,54.97643166886999,mem
2705,8.265909596899085,47.751422074543235,mem
22030,8.31343263542999,55.65059093533221,mem
19409,8.319039592582156,33.27802173458489,mem
19486,8.319392983162302,52.92702935854021,mem
25571,8.321091406286781,40.547298210477116,mem
14478,8.326361370054954,40.5237156206284,mem
8991,8.32979651831051,46.3682493902712,mem
3365,8.337720917943571,63.78853896442276,mem
17590,8.346381938154124,56.549063379046466,mem
16189,8.359707446227954,53.113506287742176,mem
36327,8.388897524122676,48.17201738066102,fg
22017,8.41437044212833,61.70751850653164,mem
23021,8.417171027287246,62.88812970193134,mem
49601,8.422748043762333,90.08990285351513,fg
894,8.447197199758714,40.74278431738736,mem
22635,8.455254761984522,55.65734247811508,mem
13401,8.462134148643527,55.90013683059992,mem
22580,8.482009125698838,56.892809596137035,mem
42272,8.497181000697303,25.374432966370968,fg
10130,8.501612199719546,64.68751709884242,mem
32514,8.553923445270602,60.705192594807606,fg
5814,8.579265194335289,48.56257480260943,mem
5815,8.579265194335289,48.56257480260943,mem
15961,8.62656192710567,60.495923378207294,mem
29051,8.63770618651647,48.2993407173114,fg
13143,8.684183472697626,61.353092915526226,mem
26892,8.700444991733711,24.400829181387838,fg
4256,8.700899026896849,34.319810765606796,mem
1274,8.716498485530497,47.90673449349197,mem
1163,8.7938828904582,67.9157666364277,mem
8914,8.80841048521131,54.69252005205766,mem
29228,8.811012058303973,72.91690895283905,fg
2392,8.857591002206592,58.09376073034966,mem
14214,8.882574541950866,54.3179653566751,mem
2333,8.911472019283147,59.50768222460127,mem
10710,8.919511020455523,43.24995231996591,mem
45566,8.970589591529269,79.01218762799266,fg
18958,8.991003184170065,55.79477767561496,mem
48695,8.998951056782126,24.99246320030284,fg
6366,9.027615428538432,53.157876148153456,mem
19928,9.073549847290051,40.07952738111909,mem
36552,9.085098950295148,76.97215341812614,fg
22709,9.108393811336633,58.51752643812925,mem
17456,9.128120281774457,50.48587115778699,mem
6786,9.162247848841488,41.58561651583817,mem
50685,9.177966686984213,59.85537277034504,fg
16869,9.212059008954485,69.07810628792929,mem
5662,9.215662534646283,59.3211341577312,mem
17900,9.278684678311166,68.68821563028905,mem
4987,9.288333645291287,64.19287807693057,mem
10105,9.310984100160656,56.755596997645256,mem
20392,9.336393538261008,55.6149946904344,mem
19615,9.343500398894127,51.688861833190316,mem
20693,9.37298560133692,64.16602819686113,mem
38141,9.377855164396609,39.793853005938814,fg
50252,9.384313156537004,52.74281722548968,fg
22372,9.401951911039816,39.0651432697077,mem
15848,9.419721031593,60.22434662022173,mem
22879,9.419904921515773,49.25779430967887,mem
6218,9.429139469761237,43.541494501932405,mem
16420,9.452495434713224,41.09919378266797,mem
22307,9.461690024759447,55.62685694660753,mem
15805,9.463275436864539,39.927472392760436,mem
25222,9.470960410781617,55.32106048126502,mem
40442,9.544971264763976,91.14146006355922,fg
11284,9.573558937357591,60.352575452599446,mem
25750,9.580934114157516,43.93194713900451,mem
10153,9.629185523526855,55.48407420833679,mem
7842,9.646595976410405,58.561743456071824,mem
13883,9.658408054822104,44.15753600393845,mem
13361,9.659589546577903,32.507565228241305,mem
28240,9.66859475941328,32.22218821938161,fg
10225,9.681460467754107,61.89421383296642,mem
11838,9.6857933045921,57.57403282991542,mem
17708,9.712949239287651,45.9498308340855,mem
20927,9.71622439273726,34.2748283566425,mem
14331,9.745632033714275,43.02047359077947,mem
8133,9.762736409874714,49.41744950728,mem
8274,9.802277512391127,51.243969072938796,mem
6156,9.804901353809557,62.91922048044231,mem
32092,9.82207220312516,69.50052138881972,fg
32093,9.82207220312516,69.50052138881972,fg
32091,9.82207220312516,69.50052138881972,fg
12621,9.849951562699516,56.24601752559103,mem
12620,9.849951562699516,56.24601752559103,mem
16355,9.866170877040783,62.989574709926615,mem
15734,9.87921403333203,29.40707690580853,mem
3417,9.889444880610581,47.5214958116928,mem
18474,9.943489445269053,36.99847093244142,mem
20361,9.95993632049661,40.47391334977014,mem
1271,9.966297137918488,52.479996081691425,mem
5479,9.966587015869948,59.4924655314888,mem
1293,9.96876190062195,39.016946732733324,mem
33314,9.97217520000239,3.9182629604486077,fg
32905,9.97888986915772,44.29766035969218,fg
603,9.993454445390212,46.846064009400166,mem
4193,10.016240058662348,49.26523345007725,mem
17041,10.023111556749626,23.896594624685807,mem
20350,10.026187355046446,41.71732002761738,mem
19569,10.028142841132409,46.622026896653175,mem
7866,10.032395706534539,54.37551266880623,mem
22151,10.102622291168913,54.27486157011256,mem
906,10.116420064784498,61.033929562339814,mem
7848,10.125951514219004,68.93008354507708,mem
12173,10.136077706114683,46.768149561285036,mem
11791,10.148975796371404,54.26703711353258,mem
21584,10.154564661658547,59.228604607500344,mem
9063,10.16607999876625,55.87017997360362,mem
7105,10.168360879861247,39.87290194752188,mem
32139,10.177823567814489,58.30493168843874,fg
404,10.17844814489282,35.121918728690574,mem
20939,10.183553455556137,55.763543106172754,mem
12764,10.204017228274084,63.668559744508585,mem
5800,10.210049103919527,58.277123600911,mem
10455,10.217222933390405,52.87866986527172,mem
12115,10.24586085091397,52.20172640320561,mem
25361,10.259457617445939,47.4751852071268,mem
16540,10.265894210804008,40.57311777071855,mem
25479,10.296855375387343,55.727210110100316,mem
49013,10.302785508177763,11.150574678377113,fg
4696,10.341495092394506,48.7774918252187,mem
19370,10.347896303548241,41.03463448681768,mem
24850,10.37110813777047,25.91843601984847,mem
17345,10.38721645878391,45.2659364868859,mem
16864,10.387927051317902,61.68588264188086,mem
6387,10.420545735021136,41.63896687050072,mem
13719,10.421786782719069,37.70897664114601,mem
10093,10.440634396750042,65.12023923837687,mem
13893,10.444361266882991,51.61242077005717,mem
12762,10.456503519455623,53.3087941858838,mem
7712,10.459438407911973,57.09074584259412,mem
22612,10.468390653838076,60.37447224109589,mem
14498,10.48525871997164,48.16856874970863,mem
7711,10.49295176443468,49.71300915174528,mem
12155,10.494680733593894,47.75103003483486,mem
35676,10.504470605359801,95.32781533533074,fg
35675,10.504470605359801,95.32781533533074,fg
105,10.505200224302342,58.08354564054199,mem
24508,10.516926753122053,57.12820620499458,mem
6821,10.531656005698252,38.65493757593242,mem
13646,10.54585623197407,62.74114810770018,mem
6731,10.546450180790954,59.81780769719715,mem
