,R,v,kind
419,2.1490369000383227,65.05395892116103,mem
2254,3.452718061336017,44.93903634240478,mem
4493,8.017736535084177,55.820465795972574,fg
4824,8.035753969965526,69.24400478759665,fg
4685,9.756066589990928,75.80984753720213,fg
2012,11.435040790020981,55.42080115454647,mem
2418,13.081939537141805,29.616949808322893,mem
518,13.953892205994599,37.28329477351629,mem
736,14.80284001648479,42.891309695396345,mem
1737,15.109520909585244,44.8500275708162,mem
93,15.602569840510078,41.98169522423101,mem
3387,15.73990796530373,41.408559600412296,fg
1756,16.412776903972944,64.72443371581606,mem
4994,17.210909853260368,63.85533984762733,fg
891,17.965975871275184,59.262366029535436,mem
1440,18.086523712288507,33.53915969112741,mem
1905,18.497937985805407,65.85311326452286,mem
479,18.518673935605594,36.28454842578394,mem
1460,19.103279999176518,44.16028379851974,mem
2426,19.647884073311538,47.608735875370634,mem
1312,21.853827984161352,36.04707566393125,mem
4216,22.07304732825891,93.63849854980214,fg
538,22.626805952375737,53.2680468451704,mem
11,22.906749442138878,36.48164027030383,mem
1867,23.002106028051987,24.504943580927684,mem
4427,23.27673115663548,17.040654226685888,fg
4547,23.29074053808829,4.804365474280702,fg
3459,24.29858267136289,35.135988251132204,fg
2448,24.52272848580381,67.62237591735821,mem
2472,24.87967820857932,82.99487109769156,mem
1666,24.96540922272853,42.58662379740928,mem
3351,25.055555558040627,58.41734714082872,fg
148,25.95696153454833,37.41867293029631,mem
17,26.04193326308624,35.01690260035818,mem
998,26.436070004678275,48.26273225893794,mem
1101,26.43947757901316,59.998632117921,mem
3034,26.520959918579067,83.37056071486377,fg
1174,26.750919580459534,36.6145445051628,mem
930,26.915477661896826,39.33087825857857,mem
3508,27.16858052807363,56.10441110453596,fg
313,27.960677290740858,25.52936487380792,mem
2203,28.239126937969214,58.89041605796781,mem
240,28.29237005522664,33.65612894636796,mem
355,28.64091790567073,31.557026380792852,mem
159,29.12682798494064,60.55250463441242,mem
2111,29.227307249590673,57.153126769210346,mem
1690,29.35583277781415,66.46237752591833,mem
880,29.366537634562746,52.49921688178364,mem
2120,29.762068990172192,54.84740338276367,mem
761,30.11978642448703,49.98481339406735,mem
342,30.152693416482485,62.53637653344867,mem
